# {'date': u'2021_mar_09_1014', 'frameRate': 99.786593691612779, 'expName': u'FTRNGT_sleep', u'session': u'training', u'participant': u'002'}
subj,trial,time,stimulus,response
002,1,0.0101423851,stimulus,
002,2,0.7601943610,stimulus,
002,2,0.7703241117,tap,rctrl
002,2,1.2164336299,tap,rctrl
002,3,1.5102257929,stimulus,
002,3,1.7844612574,tap,rctrl
002,4,2.2602826138,stimulus,
002,4,2.3444162566,tap,lctrl
002,5,3.0103372814,stimulus,
002,5,3.1764165385,tap,rctrl
002,6,3.7603928001,stimulus,
002,6,3.9843835221,tap,lctrl
002,7,4.5104211464,stimulus,
002,7,4.6483903422,tap,rctrl
002,8,5.2604807582,stimulus,
002,8,5.3603783226,tap,rctrl
002,9,6.0105303312,stimulus,
002,9,6.1123268464,tap,rctrl
002,10,6.7605875882,stimulus,
002,10,6.8563470613,tap,lctrl
002,11,7.5106111465,stimulus,
002,11,7.6163396423,tap,lctrl
002,12,8.2606452942,stimulus,
002,12,8.3122977448,tap,rctrl
002,13,9.0107100548,stimulus,
002,13,9.0962716941,tap,rctrl
002,14,9.7607577541,stimulus,
002,14,9.8162716181,tap,rctrl
002,15,10.5107874056,stimulus,
002,15,10.5209139173,tap,rctrl
002,15,11.2402294500,tap,lctrl
002,16,11.2608565150,stimulus,
002,17,12.0109124788,stimulus,
002,17,12.2402507330,tap,rctrl
002,18,12.7609417093,stimulus,
002,18,12.9681837086,tap,lctrl
002,19,13.5110269177,stimulus,
002,19,13.6161438991,tap,rctrl
002,20,14.2610457363,stimulus,
002,20,14.3201523205,tap,lctrl
002,21,15.0110872312,stimulus,
002,21,15.1681112995,tap,rctrl
002,22,15.7611661209,stimulus,
002,22,15.8080795853,tap,lctrl
002,23,16.5112292605,stimulus,
002,23,16.5520784201,tap,rctrl
002,24,17.2612632367,stimulus,
002,24,17.3040531600,tap,rctrl
002,25,18.0113083586,stimulus,
002,25,18.0480444461,tap,rctrl
002,25,18.7440726767,tap,lctrl
002,26,18.7613447769,stimulus,
002,27,19.5114365837,stimulus,
002,27,19.6160062873,tap,lctrl
002,28,20.2614532339,stimulus,
002,28,20.2959901441,tap,lctrl
002,28,20.9999716125,tap,lctrl
002,29,21.0114839470,stimulus,
002,30,21.7615860965,stimulus,
002,30,21.7920239162,tap,rctrl
002,31,22.5116314229,stimulus,
002,31,22.5439654296,tap,lctrl
002,32,23.2616689690,stimulus,
002,32,23.3199211017,tap,lctrl
002,33,24.0117204817,stimulus,
002,33,24.0799141067,tap,lctrl
002,34,24.7617887250,stimulus,
002,34,24.8479454338,tap,lctrl
002,35,25.5118366499,stimulus,
002,35,25.7679168113,tap,rctrl
002,36,26.2618690742,stimulus,
002,36,26.3758850606,tap,rctrl
002,37,27.0119440723,stimulus,
002,37,27.0638392466,tap,rctrl
002,38,27.7620102314,stimulus,
002,38,27.7758315788,tap,rctrl
002,39,28.5120630043,stimulus,
002,39,28.5278262672,tap,rctrl
002,39,29.2478083990,tap,lctrl
002,40,29.2621021744,stimulus,
002,41,30.0121484151,stimulus,
002,41,30.0477971257,tap,rctrl
002,42,30.7621718892,stimulus,
002,42,30.7757629068,tap,rctrl
002,43,31.5122263042,stimulus,
002,43,31.5677451846,tap,lctrl
002,44,32.2622792996,stimulus,
002,44,32.3357346718,tap,lctrl
002,45,33.0123046955,stimulus,
002,45,33.1196729947,tap,lctrl
002,46,33.7623583496,stimulus,
002,46,33.8556660212,tap,rctrl
002,47,34.5124327612,stimulus,
002,47,34.6076853949,tap,rctrl
002,48,35.2624975850,stimulus,
002,48,35.3276685281,tap,lctrl
002,49,36.0125654674,stimulus,
002,49,36.0876757856,tap,lctrl
002,50,36.7626315874,stimulus,
002,50,36.8236696091,tap,lctrl
002,51,37.5127011811,stimulus,
002,51,37.6076244851,tap,rctrl
002,52,38.2627426429,stimulus,
002,52,38.3836278345,tap,rctrl
002,53,39.0127749800,stimulus,
002,53,39.1276089734,tap,lctrl
002,54,39.7628563720,stimulus,
002,54,39.8235496627,tap,rctrl
002,55,40.5129076171,stimulus,
002,55,40.5835642795,tap,rctrl
002,56,41.2629524592,stimulus,
002,56,41.3435237904,tap,lctrl
002,57,42.0130171778,stimulus,
002,57,42.0475203021,tap,rctrl
002,58,42.7630532833,stimulus,
002,58,42.8154936512,tap,lctrl
002,59,43.5130936474,stimulus,
002,59,43.6634941604,tap,rctrl
002,60,44.2631629012,stimulus,
002,60,44.4074760631,tap,lctrl
002,61,45.0131856656,stimulus,
002,61,45.1434747558,tap,rctrl
002,62,45.7632080119,stimulus,
002,62,45.8234101652,tap,lctrl
002,63,46.5132932684,stimulus,
002,63,46.5594224245,tap,lctrl
002,64,47.2633172448,stimulus,
002,64,47.2954136616,tap,lctrl
002,64,47.9833604643,tap,rctrl
002,65,48.0133648118,stimulus,
002,65,48.7353794981,tap,rctrl
002,66,48.7634197200,stimulus,
002,67,49.5134613021,stimulus,
002,67,49.5352910863,tap,lctrl
002,68,50.2635029744,stimulus,
002,68,50.3273415344,tap,rctrl
002,69,51.0135645050,stimulus,
002,69,51.0872871237,tap,lctrl
002,70,51.7636136659,stimulus,
002,70,51.8313400449,tap,rctrl
002,71,52.5136555367,stimulus,
002,71,52.5912596136,tap,lctrl
002,72,53.2637140659,stimulus,
002,72,53.3272595182,tap,lctrl
002,72,53.9911943185,tap,lctrl
002,73,54.0137395220,stimulus,
002,73,54.7432313941,tap,rctrl
002,74,54.7637734050,stimulus,
002,75,55.5138466948,stimulus,
002,75,55.5751755235,tap,lctrl
002,76,56.2638658442,stimulus,
002,76,56.3111470376,tap,rctrl
002,77,57.0139321898,stimulus,
002,77,57.0240533331,tap,rctrl
002,78,57.7639680727,stimulus,
002,78,57.7741037331,tap,lctrl
002,78,58.5031402116,tap,rctrl
002,79,58.5140328304,stimulus,
002,79,59.2391240443,tap,rctrl
002,80,65.2885720675,probe1,3
002,80,70.7600477319,probe2,1
002,80,76.2715646902,probe3,3
