# {'date': u'2021_mar_30_1125', 'frameRate': 99.783478857911803, 'expName': u'FTRNGT_sleep', u'session': u'day2', u'participant': u'014'}
subj,trial,time,stimulus,response
014,1,0.0101791741,stimulus,
014,2,0.7602194013,stimulus,
014,2,0.9088511366,tap,lctrl
014,3,1.5102527383,stimulus,
014,3,1.5968317306,tap,rctrl
014,4,2.2602995098,stimulus,
014,4,2.3728307059,tap,lctrl
014,5,3.0103405640,stimulus,
014,5,3.1328075299,tap,rctrl
014,6,3.7603887069,stimulus,
014,6,3.9087842649,tap,rctrl
014,7,4.5104393159,stimulus,
014,7,4.6047552762,tap,lctrl
014,8,5.2604866859,stimulus,
014,8,5.3407789442,tap,lctrl
014,9,6.0105418001,stimulus,
014,9,6.0687523160,tap,rctrl
014,10,6.7605868543,stimulus,
014,10,6.8367404051,tap,lctrl
014,11,7.5106290514,stimulus,
014,11,7.5887244568,tap,rctrl
014,12,8.2607055338,stimulus,
014,12,8.2926994582,tap,lctrl
014,13,9.0107564556,stimulus,
014,13,9.0767222700,tap,rctrl
014,14,9.7608109593,stimulus,
014,14,9.7966626205,tap,lctrl
014,15,10.5108368438,stimulus,
014,15,10.6046490481,tap,rctrl
014,16,11.2608902919,stimulus,
014,16,11.3406454353,tap,rctrl
014,17,12.0109487293,stimulus,
014,17,12.1326470525,tap,rctrl
014,18,12.7609852543,stimulus,
014,18,12.8926596985,tap,rctrl
014,19,13.5110416016,stimulus,
014,19,13.5885812037,tap,rctrl
014,20,14.2610873024,stimulus,
014,20,14.2925734770,tap,lctrl
014,21,15.0111464557,stimulus,
014,21,15.0525907185,tap,lctrl
014,22,15.7611911550,stimulus,
014,22,15.8525806417,tap,lctrl
014,23,16.5112477489,stimulus,
014,23,16.7085606613,tap,lctrl
014,24,17.2613055849,stimulus,
014,24,17.4045557926,tap,lctrl
014,25,18.0113369039,stimulus,
014,25,18.1005466142,tap,rctrl
014,26,18.7613794108,stimulus,
014,26,18.7884929951,tap,lctrl
014,27,19.5114314093,stimulus,
014,27,19.5405064962,tap,rctrl
014,28,20.2614985624,stimulus,
014,28,20.3644695961,tap,lctrl
014,29,21.0115601908,stimulus,
014,29,21.1884698925,tap,rctrl
014,30,21.7616252478,stimulus,
014,30,21.8765700068,tap,lctrl
014,31,22.5116832161,stimulus,
014,31,22.6204516127,tap,rctrl
014,32,23.2617234944,stimulus,
014,32,23.3164019295,tap,lctrl
014,33,24.0117954235,stimulus,
014,33,24.1164170614,tap,rctrl
014,34,24.7618353078,stimulus,
014,34,24.8603929518,tap,lctrl
014,35,25.5118808192,stimulus,
014,35,25.6203493729,tap,rctrl
014,36,26.2619218614,stimulus,
014,36,26.3083817708,tap,lctrl
014,37,27.0119829124,stimulus,
014,37,27.0603746375,tap,rctrl
014,38,27.7620312718,stimulus,
014,38,27.9563402560,tap,lctrl
014,39,28.5121085391,stimulus,
014,39,28.6123370457,tap,rctrl
014,39,29.2603200109,tap,lctrl
014,40,29.2704958767,stimulus,
014,41,30.0205521909,stimulus,
014,41,30.1162956907,tap,lctrl
014,42,30.7706317409,stimulus,
014,42,30.8762909024,tap,lctrl
014,43,31.5206841394,stimulus,
014,43,31.6202872045,tap,lctrl
014,44,32.2707459032,stimulus,
014,44,32.3402804174,tap,rctrl
014,45,33.0207726899,stimulus,
014,45,33.1482368936,tap,rctrl
014,46,33.7708237952,stimulus,
014,46,33.9242025882,tap,rctrl
014,47,34.5208849605,stimulus,
014,47,34.5562177622,tap,lctrl
014,48,35.2709252177,stimulus,
014,48,35.3481874128,tap,rctrl
014,49,36.0209723260,stimulus,
014,49,36.0921817360,tap,lctrl
014,50,36.7710337800,stimulus,
014,50,36.8761757812,tap,rctrl
014,51,37.5210516045,stimulus,
014,51,37.6201470220,tap,lctrl
014,52,38.2711217290,stimulus,
014,52,38.4201329512,tap,rctrl
014,53,39.0212001603,stimulus,
014,53,39.1401235958,tap,lctrl
014,54,39.7712138254,stimulus,
014,54,39.8760959352,tap,rctrl
014,55,40.5212818477,stimulus,
014,55,40.5881157021,tap,lctrl
014,56,41.2713335214,stimulus,
014,56,41.4120707419,tap,rctrl
014,57,42.0213882867,stimulus,
014,57,42.1241041868,tap,lctrl
014,58,42.7714182734,stimulus,
014,58,42.8600772149,tap,rctrl
014,59,43.5214648915,stimulus,
014,59,43.6040500887,tap,lctrl
014,60,44.2715270252,stimulus,
014,60,44.3640116527,tap,rctrl
014,61,45.0216152277,stimulus,
014,61,45.1960550665,tap,lctrl
014,62,45.7716610819,stimulus,
014,62,45.9079995682,tap,rctrl
014,63,46.5217045903,stimulus,
014,63,46.6199738379,tap,lctrl
014,64,47.2717890515,stimulus,
014,64,47.3639740407,tap,rctrl
014,65,48.0218266411,stimulus,
014,65,48.0839544839,tap,lctrl
014,66,48.7719083655,stimulus,
014,66,48.9239492208,tap,rctrl
014,67,49.5219458168,stimulus,
014,67,49.6919541849,tap,lctrl
014,68,55.3575532040,probe1,3
014,68,59.4365194167,probe2,0
014,68,63.1239026135,probe3,3
014,69,63.8976492840,stimulus,
014,69,64.1636682101,tap,lctrl
014,70,64.6476852737,stimulus,
014,70,64.6916118533,tap,rctrl
014,71,65.3977492960,stimulus,
014,71,65.4836061052,tap,lctrl
014,72,66.1477850932,stimulus,
014,72,66.2755936624,tap,rctrl
014,73,66.8978559787,stimulus,
014,73,67.0276211241,tap,lctrl
014,74,67.6479083982,stimulus,
014,74,67.7955927924,tap,rctrl
014,75,68.3979537321,stimulus,
014,75,68.5395710646,tap,lctrl
014,76,69.1479921036,stimulus,
014,76,69.2835367776,tap,rctrl
014,77,69.8980658793,stimulus,
014,77,70.0115484466,tap,lctrl
014,78,70.6481075320,stimulus,
014,78,70.7555411067,tap,rctrl
014,79,71.3981392571,stimulus,
014,79,71.4514848702,tap,lctrl
014,80,72.1482079320,stimulus,
014,80,72.2115339308,tap,rctrl
014,81,72.8982387398,stimulus,
014,81,72.9234535336,tap,lctrl
014,82,73.6482875112,stimulus,
014,82,73.6915024339,tap,rctrl
014,83,74.3983179731,stimulus,
014,83,74.4084476381,tap,lctrl
014,84,75.1483737129,stimulus,
014,84,75.2514480746,tap,rctrl
014,85,75.8984208964,stimulus,
014,85,76.0034313474,tap,lctrl
014,86,76.6484457764,stimulus,
014,86,76.7714091359,tap,rctrl
014,87,77.3985061778,stimulus,
014,87,77.5154302316,tap,lctrl
014,88,78.1485392051,stimulus,
014,88,78.2753823551,tap,rctrl
014,89,78.8985823616,stimulus,
014,89,78.9473961504,tap,lctrl
014,90,79.6486319029,stimulus,
014,90,79.6913379690,tap,rctrl
014,91,80.3987065718,stimulus,
014,91,80.4433185080,tap,lctrl
014,92,81.1487469042,stimulus,
014,92,81.2193304335,tap,rctrl
014,93,81.8987919705,stimulus,
014,93,81.9473042324,tap,lctrl
014,94,82.6488592229,stimulus,
014,94,82.7392702139,tap,rctrl
014,95,83.3989080635,stimulus,
014,95,83.4832569823,tap,lctrl
014,96,84.1489841398,stimulus,
014,96,84.2192666415,tap,rctrl
014,97,84.8990289324,stimulus,
014,97,84.9472449455,tap,lctrl
014,98,85.6490900676,stimulus,
014,98,85.7712048635,tap,rctrl
014,99,86.3991011072,stimulus,
014,99,86.4832163117,tap,lctrl
014,100,87.1491547598,stimulus,
014,100,87.2192502052,tap,rctrl
014,101,87.8992321293,stimulus,
014,101,88.0032336400,tap,lctrl
014,102,88.6492557522,stimulus,
014,102,88.7391844337,tap,rctrl
014,103,89.3993160634,stimulus,
014,103,89.5231762474,tap,lctrl
014,104,90.1493734904,stimulus,
014,104,90.2511409365,tap,rctrl
014,105,90.8994232302,stimulus,
014,105,90.9791591348,tap,lctrl
014,106,91.6494474065,stimulus,
014,106,91.7471135371,tap,rctrl
014,107,92.3994954892,stimulus,
014,107,92.4671147981,tap,lctrl
014,108,93.1495351179,stimulus,
014,108,93.2270762718,tap,rctrl
014,109,93.8995704279,stimulus,
014,109,93.9390869441,tap,lctrl
014,110,94.6496550695,stimulus,
014,110,94.7310681044,tap,rctrl
014,111,95.3996802503,stimulus,
014,111,95.5310563254,tap,lctrl
014,112,96.1497368232,stimulus,
014,112,96.2910030895,tap,rctrl
014,113,96.8997888096,stimulus,
014,113,97.0110544130,tap,lctrl
014,114,97.6498719595,stimulus,
014,114,97.8350225896,tap,rctrl
014,115,98.3999055372,stimulus,
014,115,98.5550008735,tap,lctrl
014,116,99.1499726904,stimulus,
014,116,99.2589758959,tap,lctrl
014,117,99.9000308391,stimulus,
014,117,100.0269725383,tap,rctrl
014,118,100.6500731024,stimulus,
014,118,100.8029588792,tap,rctrl
014,119,101.4001048876,stimulus,
014,119,101.4669390938,tap,lctrl
014,120,102.1501843925,stimulus,
014,120,102.2269492346,tap,lctrl
014,121,102.9002155762,stimulus,
014,121,102.9629245664,tap,lctrl
014,122,103.6502668619,stimulus,
014,122,103.6603977147,tap,lctrl
014,123,104.4003433623,stimulus,
014,123,104.4428703059,tap,rctrl
