# {'date': u'2021_apr_28_0922', 'frameRate': 99.776432835405274, 'expName': u'FTRNGT_sleep', u'session': u'day2', u'participant': u'019'}
subj,trial,time,stimulus,response
019,1,0.0101834794,stimulus,
019,1,0.3966159273,tap,lctrl
019,2,0.7602105443,stimulus,
019,2,1.1086271534,tap,lctrl
019,3,1.5102507188,stimulus,
019,3,1.7326167930,tap,lctrl
019,4,2.2602892181,stimulus,
019,4,2.4285764638,tap,lctrl
019,5,3.0103578195,stimulus,
019,5,3.1486007729,tap,lctrl
019,6,3.7603910647,stimulus,
019,6,3.8766083067,tap,lctrl
019,7,4.5104608540,stimulus,
019,7,4.6205438901,tap,lctrl
019,8,5.2605149893,stimulus,
019,8,5.3567140695,tap,lctrl
019,9,6.0105676660,stimulus,
019,9,6.1565334283,tap,rctrl
019,10,6.7606099879,stimulus,
019,11,7.5107147122,stimulus,
019,12,8.2607046376,stimulus,
019,12,8.8285261523,tap,rctrl
019,13,9.0107761171,stimulus,
019,14,9.7608282674,stimulus,
019,15,10.5108797501,stimulus,
019,15,10.6845025319,tap,rctrl
019,16,11.2609190254,stimulus,
019,16,11.4285302558,tap,rctrl
019,17,12.0109809772,stimulus,
019,17,12.0684771267,tap,rctrl
019,18,12.7610078315,stimulus,
019,18,12.8604494823,tap,rctrl
019,19,13.5110731878,stimulus,
019,19,13.5964594435,tap,rctrl
019,20,14.2611365771,stimulus,
019,20,14.4204607058,tap,rctrl
019,21,15.0111696991,stimulus,
019,21,15.1884231023,tap,rctrl
019,22,15.7612145833,stimulus,
019,22,15.8443905543,tap,rctrl
019,23,16.5112639427,stimulus,
019,23,16.5883798996,tap,rctrl
019,24,17.2613074706,stimulus,
019,24,17.3643915021,tap,lctrl
019,25,18.0113533173,stimulus,
019,25,18.1403679079,tap,lctrl
019,26,18.7614200389,stimulus,
019,26,18.8203664437,tap,lctrl
019,27,19.5116646748,stimulus,
019,27,19.6283935184,tap,lctrl
019,28,20.2617113907,stimulus,
019,28,20.3803284526,tap,lctrl
019,29,21.0117680402,stimulus,
019,29,21.1402933448,tap,lctrl
019,30,21.7618447678,stimulus,
019,30,21.8123088996,tap,lctrl
019,31,22.5119208097,stimulus,
019,31,22.5243367481,tap,lctrl
019,32,23.2619910110,stimulus,
019,32,23.2923194151,tap,lctrl
019,33,24.0120002535,stimulus,
019,33,24.0763247474,tap,rctrl
019,34,24.7620356401,stimulus,
019,34,24.8042823507,tap,rctrl
019,34,25.5002862317,tap,rctrl
019,35,25.5121063467,stimulus,
019,35,26.2122820324,tap,rctrl
019,36,26.2621396641,stimulus,
019,36,26.9962713377,tap,rctrl
019,37,27.0121937272,stimulus,
019,37,27.6762688810,tap,rctrl
019,38,27.7622450626,stimulus,
019,38,28.4602221987,tap,rctrl
019,39,28.5122984400,stimulus,
019,39,29.1882187882,tap,rctrl
019,40,29.2623348762,stimulus,
019,41,30.0124035136,stimulus,
019,41,30.0681673352,tap,rctrl
019,42,30.7624831675,stimulus,
019,42,30.7801743087,tap,lctrl
019,43,31.5125170533,stimulus,
019,43,31.5481896220,tap,lctrl
019,43,32.2201771078,tap,lctrl
019,44,32.2625503527,stimulus,
019,45,33.0126422170,stimulus,
019,45,33.0281484627,tap,lctrl
019,46,33.7626820246,stimulus,
019,46,33.7961371026,tap,lctrl
019,47,34.5126981723,stimulus,
019,47,34.5401116450,tap,lctrl
019,47,35.1881514359,tap,lctrl
019,48,35.2627411257,stimulus,
019,48,35.9081037516,tap,lctrl
019,49,36.0128052700,stimulus,
019,49,36.6840818597,tap,lctrl
019,50,36.7628562414,stimulus,
019,51,37.5129780483,stimulus,
019,51,37.5231277506,tap,rctrl
019,51,38.2200808174,tap,rctrl
019,52,38.2630044425,stimulus,
019,52,38.9800602388,tap,rctrl
019,53,39.0130557357,stimulus,
019,53,39.7560568670,tap,rctrl
019,54,39.7662352788,stimulus,
019,55,40.5163016275,stimulus,
019,55,40.6680860736,tap,rctrl
019,56,41.2663366351,stimulus,
019,56,41.3640649833,tap,rctrl
019,57,42.0163938321,stimulus,
019,57,42.1319985500,tap,rctrl
019,58,42.7664294683,stimulus,
019,58,42.9160454458,tap,rctrl
019,59,43.5164744758,stimulus,
019,59,43.6359796204,tap,rctrl
