# {'date': u'2021_apr_27_0924', 'frameRate': 99.783574681695981, 'expName': u'FTRNGT_sleep', u'session': u'training', u'participant': u'020'}
subj,trial,time,stimulus,response
020,1,0.0101325190,stimulus,
020,2,0.7601543013,stimulus,
020,3,1.5102157072,stimulus,
020,3,1.8149836556,tap,left
020,4,2.2602710891,stimulus,
020,4,2.4469189751,tap,left
020,5,3.0103461249,stimulus,
020,5,3.2069670372,tap,left
020,6,3.7603790529,stimulus,
020,6,3.9849240985,tap,lctrl
020,7,4.5104261402,stimulus,
020,7,4.7109168342,tap,left
020,8,5.2604783221,stimulus,
020,8,5.4649363454,tap,lctrl
020,9,6.0105348197,stimulus,
020,9,6.2248952177,tap,rctrl
020,10,6.7606014797,stimulus,
020,10,6.8968527851,tap,lctrl
020,11,7.5106511293,stimulus,
020,11,7.6648766993,tap,rctrl
020,12,8.2607428205,stimulus,
020,12,8.5048370397,tap,lctrl
020,13,9.0107789515,stimulus,
020,13,9.1128696176,tap,lctrl
020,14,9.7608191576,stimulus,
020,14,9.8168448325,tap,lctrl
020,15,10.5108645667,stimulus,
020,15,10.6887897110,tap,rctrl
020,16,11.2609093593,stimulus,
020,16,11.4567862902,tap,lctrl
020,17,12.0109533157,stimulus,
020,17,12.2007939425,tap,rctrl
020,18,12.7610034015,stimulus,
020,18,12.8967913174,tap,lctrl
020,19,13.5110251507,stimulus,
020,19,13.6567526648,tap,rctrl
020,20,14.2610874378,stimulus,
020,20,14.3927445678,tap,rctrl
020,21,15.0111483293,stimulus,
020,21,15.2006975193,tap,rctrl
020,22,15.7611809717,stimulus,
020,22,15.9607125683,tap,rctrl
020,23,16.5111977044,stimulus,
020,23,16.6646814615,tap,lctrl
020,24,17.2612594802,stimulus,
020,24,17.3606783882,tap,rctrl
020,25,18.0113322694,stimulus,
020,25,18.1287300795,tap,rctrl
020,26,18.7613785296,stimulus,
020,26,18.8326690573,tap,rctrl
020,27,19.5114203056,stimulus,
020,27,19.5846611060,tap,lctrl
020,28,20.2614633358,stimulus,
020,28,20.6566529639,tap,lctrl
020,29,21.0115125463,stimulus,
020,29,21.1525828965,tap,rctrl
020,30,21.7615542743,stimulus,
020,30,21.9605924186,tap,rctrl
020,31,22.5116082607,stimulus,
020,31,22.6405745413,tap,rctrl
020,32,23.2616705929,stimulus,
