# {'date': u'2021_mai_22_0927', 'frameRate': 99.785266095914281, 'expName': u'FTRNGT_sleep', u'session': u'day1', u'participant': u'023'}
subj,trial,time,stimulus,response
023,1,0.0101665593,stimulus,
023,2,0.7601986466,stimulus,
023,3,1.5102582375,stimulus,
023,3,2.2224516997,tap,rctrl
023,4,2.2602768273,stimulus,
023,4,2.9104311714,tap,lctrl
023,5,3.0103442106,stimulus,
023,5,3.7424258597,tap,rctrl
023,6,3.7603850257,stimulus,
023,7,4.5104466406,stimulus,
023,7,4.5264503166,tap,lctrl
023,7,5.2464131346,tap,rctrl
023,8,5.2604789686,stimulus,
023,8,5.9984115509,tap,rctrl
023,9,6.0105474767,stimulus,
023,9,6.7423631342,tap,lctrl
023,10,6.7605872994,stimulus,
023,10,7.4543527695,tap,lctrl
023,11,7.5106480842,stimulus,
023,12,8.2607288148,stimulus,
023,12,8.2708465624,tap,rctrl
023,13,9.0107835997,stimulus,
023,13,9.0623483837,tap,rctrl
023,14,9.7608274494,stimulus,
023,14,9.8703789742,tap,rctrl
023,15,10.5108900087,stimulus,
023,15,10.5983100485,tap,rctrl
023,16,11.2609583393,stimulus,
023,16,11.3664660523,tap,lctrl
023,17,12.0110172054,stimulus,
023,17,12.2063244685,tap,lctrl
023,18,12.7610660295,stimulus,
023,18,12.9343134160,tap,rctrl
023,19,13.5111062642,stimulus,
023,19,13.5582685597,tap,lctrl
023,20,14.2611377681,stimulus,
023,20,14.2712744479,tap,lctrl
023,20,14.9822879112,tap,lctrl
023,21,15.0111934523,stimulus,
023,22,15.7612467214,stimulus,
023,22,15.7713766975,tap,rctrl
023,23,16.5112938914,stimulus,
023,23,16.5742644239,tap,rctrl
023,23,17.1901925208,tap,lctrl
023,24,17.2613194224,stimulus,
023,25,18.0114037228,stimulus,
023,25,18.0215325260,tap,rctrl
023,25,18.7341784685,tap,lctrl
023,26,18.7614484086,stimulus,
023,27,19.5115262610,stimulus,
023,27,19.7022075127,tap,rctrl
023,28,20.2615820715,stimulus,
023,28,20.3502172286,tap,lctrl
023,29,21.0116563840,stimulus,
023,29,21.1341524352,tap,rctrl
023,30,21.7616937285,stimulus,
023,30,21.9101488318,tap,lctrl
023,31,22.5117509285,stimulus,
023,31,22.6541439274,tap,rctrl
023,32,23.2618008894,stimulus,
023,32,23.3502588631,tap,rctrl
023,33,24.0118348684,stimulus,
023,33,24.0701571132,tap,rctrl
023,34,24.7618840534,stimulus,
023,34,24.8061257364,tap,lctrl
023,35,25.5119301948,stimulus,
023,35,25.5261651672,tap,lctrl
023,36,26.2619880413,stimulus,
023,36,26.3421561976,tap,rctrl
023,37,27.0120165288,stimulus,
023,37,27.1180819482,tap,lctrl
023,38,27.7620937796,stimulus,
023,38,27.8621254043,tap,lctrl
023,39,28.5121370338,stimulus,
023,39,28.5580313101,tap,lctrl
023,40,29.2621779723,stimulus,
023,40,29.3500721493,tap,rctrl
023,41,30.0122493856,stimulus,
023,41,30.1740531171,tap,rctrl
023,42,30.7622966488,stimulus,
023,42,30.8940586203,tap,lctrl
023,43,31.5123445315,stimulus,
023,43,31.6140086053,tap,rctrl
023,44,32.2624002818,stimulus,
023,44,32.3260152510,tap,lctrl
023,45,33.0124405316,stimulus,
023,45,33.1820139165,tap,rctrl
023,46,33.7624759242,stimulus,
023,46,33.7819945715,tap,lctrl
023,47,34.5125436684,stimulus,
023,47,34.5419620111,tap,rctrl
023,48,35.2625968984,stimulus,
023,48,35.3019557452,tap,rctrl
023,48,36.0059489379,tap,lctrl
023,49,36.0161303692,stimulus,
023,49,36.7339204359,tap,rctrl
023,50,36.7661892113,stimulus,
023,51,37.5162649494,stimulus,
023,51,37.5263745948,tap,rctrl
023,51,38.1899658491,tap,lctrl
023,52,38.2663010397,stimulus,
023,53,39.0163467029,stimulus,
023,53,39.1419211337,tap,rctrl
023,54,39.7663679573,stimulus,
023,54,39.8939220492,tap,lctrl
023,55,40.5164436533,stimulus,
023,55,40.6139011618,tap,lctrl
023,56,41.2664926248,stimulus,
023,56,41.3338925930,tap,rctrl
023,57,42.0165474849,stimulus,
023,57,42.0778934389,tap,lctrl
023,58,42.7665773166,stimulus,
023,58,42.8378879189,tap,lctrl
023,59,43.5166442368,stimulus,
023,59,43.6538893672,tap,lctrl
023,60,44.2666971450,stimulus,
023,60,44.3738446273,tap,lctrl
023,61,45.0167387481,stimulus,
023,61,45.0778398261,tap,lctrl
023,62,53.1224956645,probe1,3
023,62,58.7248754365,probe2,0
023,62,64.2061763482,probe3,2
023,63,64.9799378948,stimulus,
023,63,65.6215434673,tap,rctrl
023,64,65.7299613567,stimulus,
023,64,66.1895255340,tap,lctrl
023,65,66.4799756999,stimulus,
023,65,66.7895351090,tap,lctrl
023,66,67.2300237420,stimulus,
023,66,67.4054930372,tap,lctrl
023,67,67.9800796247,stimulus,
023,67,68.0854704935,tap,rctrl
023,68,68.7301437178,stimulus,
023,68,68.9014858605,tap,lctrl
023,69,69.4801898802,stimulus,
023,69,69.6774549430,tap,lctrl
023,70,70.2302375675,stimulus,
023,70,70.3414339563,tap,rctrl
023,71,70.9803023162,stimulus,
023,71,71.0614434836,tap,lctrl
023,72,71.7303857776,stimulus,
023,72,71.8375055789,tap,lctrl
023,73,72.4804188664,stimulus,
023,73,72.5494237833,tap,rctrl
023,74,73.2304541387,stimulus,
023,74,73.3094154662,tap,rctrl
023,75,73.9805207311,stimulus,
023,75,74.0773793905,tap,rctrl
023,76,74.7305824874,stimulus,
023,76,74.7573657880,tap,rctrl
023,77,75.4806484541,stimulus,
023,77,75.5493883447,tap,lctrl
023,78,76.2307025173,stimulus,
023,78,76.2933468090,tap,lctrl
023,79,76.9807592901,stimulus,
023,79,77.0293578861,tap,lctrl
023,80,77.7308017744,stimulus,
023,80,77.7409142199,tap,lctrl
023,80,78.4532999420,tap,lctrl
023,81,78.4808456000,stimulus,
023,82,79.2308942226,stimulus,
023,82,79.3813279465,tap,rctrl
023,83,79.9809583247,stimulus,
023,83,80.1733055471,tap,lctrl
023,84,80.7309918948,stimulus,
023,84,80.8452952284,tap,rctrl
023,85,81.4810318227,stimulus,
023,85,81.6132575286,tap,rctrl
023,86,82.2310626139,stimulus,
023,86,82.2932395202,tap,lctrl
023,87,82.9811095913,stimulus,
023,87,83.0852351387,tap,rctrl
023,88,83.7311829265,stimulus,
023,88,83.7812768689,tap,rctrl
023,89,84.4812372512,stimulus,
023,89,84.6533023321,tap,lctrl
023,90,85.2312961925,stimulus,
023,90,85.3412294043,tap,lctrl
023,91,85.9813642706,stimulus,
023,91,86.0131999429,tap,lctrl
023,92,86.7314097984,stimulus,
023,92,86.7492352994,tap,lctrl
023,92,87.4772095582,tap,lctrl
023,93,87.4873893986,stimulus,
023,94,88.2374491338,stimulus,
023,94,88.3891976103,tap,lctrl
023,95,88.9874919279,stimulus,
023,95,89.1411936117,tap,rctrl
023,96,89.7375432392,stimulus,
023,96,89.8691829411,tap,rctrl
023,97,90.4875963038,stimulus,
023,97,90.5331082496,tap,rctrl
023,98,91.2376562526,stimulus,
023,98,91.3811232153,tap,lctrl
023,99,91.9877165051,stimulus,
023,99,92.1731119647,tap,rctrl
023,100,92.7377561804,stimulus,
023,100,92.8211411631,tap,rctrl
023,101,93.4877959369,stimulus,
023,101,93.5490617322,tap,lctrl
023,102,94.2378807877,stimulus,
023,102,94.2770836358,tap,lctrl
023,103,94.9879356448,stimulus,
023,103,95.0210441483,tap,rctrl
023,104,95.7379718645,stimulus,
023,104,95.7650962509,tap,lctrl
023,105,96.4880136330,stimulus,
023,105,96.5170474737,tap,lctrl
023,106,97.2380783727,stimulus,
023,106,97.2610341363,tap,lctrl
023,107,97.9881314343,stimulus,
023,107,98.1410527067,tap,lctrl
023,108,98.7381557954,stimulus,
023,108,98.9010723835,tap,lctrl
023,109,99.4882035699,stimulus,
023,109,99.6210281158,tap,lctrl
023,110,100.2382702855,stimulus,
023,110,100.3490489396,tap,rctrl
023,111,100.9883423214,stimulus,
023,111,101.1330136497,tap,rctrl
023,112,101.7383940868,stimulus,
023,112,101.8609834906,tap,lctrl
023,113,102.4884417199,stimulus,
023,113,102.6209748608,tap,rctrl
023,114,103.2384953349,stimulus,
023,114,103.3409758378,tap,lctrl
023,115,103.9885516507,stimulus,
023,115,104.0529323486,tap,rctrl
023,116,104.7386089048,stimulus,
023,116,104.7649490874,tap,rctrl
023,117,105.4886531424,stimulus,
023,117,105.6209840263,tap,lctrl
023,118,106.2387038341,stimulus,
023,118,106.2929260720,tap,rctrl
