# {'date': u'2021_mai_22_0910', 'frameRate': 99.780696560202585, 'expName': u'FTRNGT_sleep', u'session': u'training', u'participant': u'023'}
subj,trial,time,stimulus,response
023,1,0.0101315129,stimulus,
023,2,0.7601655101,stimulus,
023,3,1.5102129928,stimulus,
023,4,2.2602775340,stimulus,
023,5,3.0103503880,stimulus,
023,5,3.1857258223,tap,rctrl
023,6,3.7603892482,stimulus,
023,6,3.8337095956,tap,rctrl
023,7,4.5104425655,stimulus,
023,7,4.5856759130,tap,rctrl
023,8,5.2605042917,stimulus,
023,8,5.3376790451,tap,rctrl
023,9,6.0105379520,stimulus,
023,9,6.0896343520,tap,rctrl
023,10,6.7606046075,stimulus,
023,10,6.8096588897,tap,rctrl
023,11,7.5106570466,stimulus,
023,11,7.5696525877,tap,rctrl
023,12,8.2606967068,stimulus,
023,12,8.2976128918,tap,rctrl
023,13,9.0107774043,stimulus,
023,13,9.0336503837,tap,rctrl
023,14,9.7607960121,stimulus,
023,14,9.7709271009,tap,rctrl
023,14,10.4416156836,tap,rctrl
023,15,10.5108580571,stimulus,
023,15,11.2256361767,tap,rctrl
023,16,11.2609009624,stimulus,
023,16,11.9935922965,tap,rctrl
023,17,12.0109638315,stimulus,
023,17,12.7535530595,tap,rctrl
023,18,12.7637307164,stimulus,
023,19,13.5138117657,stimulus,
023,19,13.5615877041,tap,rctrl
023,20,14.2638490952,stimulus,
023,20,14.2895430729,tap,rctrl
023,21,15.0138979102,stimulus,
023,21,15.0240304457,tap,rctrl
023,22,15.7639591161,stimulus,
023,22,15.7775502866,tap,rctrl
023,22,16.5055474295,tap,rctrl
023,23,16.5157210353,stimulus,
023,23,17.2495368560,tap,rctrl
023,24,17.2657847765,stimulus,
023,24,17.9855052567,tap,rctrl
023,25,18.0158447794,stimulus,
023,25,18.7214962106,tap,rctrl
023,26,18.7658862261,stimulus,
023,26,19.4574738382,tap,rctrl
023,27,19.5159423163,stimulus,
023,27,20.1614907541,tap,rctrl
023,28,20.2659857178,stimulus,
023,28,20.8894866308,tap,rctrl
023,29,21.0160669627,stimulus,
023,29,21.6814210078,tap,rctrl
023,30,21.7660996155,stimulus,
023,30,22.4334739740,tap,rctrl
023,31,22.5161607703,stimulus,
023,32,23.2662017508,stimulus,
023,32,23.2893865771,tap,rctrl
023,33,24.0162462350,stimulus,
023,33,24.0894733742,tap,rctrl
023,34,24.7663043944,stimulus,
023,34,24.8253751108,tap,rctrl
023,35,25.5163397599,stimulus,
023,35,25.5773579273,tap,rctrl
023,36,26.2664061327,stimulus,
023,36,26.3133678976,tap,rctrl
023,37,27.0164563853,stimulus,
023,37,27.1213817123,tap,rctrl
023,38,27.7664909358,stimulus,
023,38,27.8573278936,tap,rctrl
023,39,28.5165461448,stimulus,
023,39,28.6013473740,tap,rctrl
023,40,29.2666097237,stimulus,
023,40,29.3853481500,tap,rctrl
023,41,30.0166505899,stimulus,
023,41,30.1692893655,tap,rctrl
023,42,30.7667059342,stimulus,
023,42,30.8573540726,tap,rctrl
023,43,31.5167543553,stimulus,
023,43,31.6012952619,tap,rctrl
023,44,32.2668158980,stimulus,
023,44,32.3452855516,tap,rctrl
023,45,33.0168738258,stimulus,
023,45,33.1052691234,tap,rctrl
023,46,33.7669042290,stimulus,
023,46,33.8252417217,tap,rctrl
023,47,34.5169707972,stimulus,
023,47,34.6012954892,tap,rctrl
023,48,35.2670344753,stimulus,
023,48,35.3532512863,tap,rctrl
023,49,36.0170788543,stimulus,
023,49,36.0892810880,tap,rctrl
023,50,36.7671340422,stimulus,
023,50,36.8171876452,tap,rctrl
023,51,37.5171735822,stimulus,
023,51,37.5273024906,tap,rctrl
023,51,38.2492083656,tap,rctrl
023,52,38.2672384181,stimulus,
023,53,39.0173202344,stimulus,
023,53,39.0331866575,tap,rctrl
023,53,39.7531604076,tap,rctrl
023,54,39.7673354137,stimulus,
023,55,40.5174190224,stimulus,
023,55,40.5371769007,tap,rctrl
023,55,41.2572093632,tap,rctrl
023,56,41.2674579638,stimulus,
023,57,42.0175161713,stimulus,
023,57,42.0276462256,tap,rctrl
023,58,42.7675982402,stimulus,
023,58,42.7851251482,tap,rctrl
023,59,43.5176332057,stimulus,
023,59,43.5371696514,tap,rctrl
023,59,44.2011174770,tap,rctrl
023,60,44.2676744028,stimulus,
023,60,45.0090703659,tap,rctrl
023,61,45.0192320560,stimulus,
023,61,45.7532380706,tap,rctrl
023,62,45.7693023325,stimulus,
023,62,46.4730934879,tap,rctrl
023,63,46.5193364800,stimulus,
023,63,47.2410985366,tap,rctrl
023,64,47.2694069761,stimulus,
023,64,47.9690546333,tap,rctrl
023,65,48.0194740316,stimulus,
023,65,48.6810634865,tap,rctrl
023,66,48.7695089550,stimulus,
023,66,49.4650664368,tap,rctrl
023,67,49.5195508679,stimulus,
023,67,50.1930486355,tap,rctrl
023,68,50.2696229098,stimulus,
023,68,50.9610211281,tap,rctrl
023,69,51.0196885457,stimulus,
023,69,51.7289884027,tap,rctrl
023,70,51.7697346871,stimulus,
023,70,52.4969988559,tap,rctrl
023,71,52.5197864405,stimulus,
023,72,53.2698577125,stimulus,
023,72,53.3849733519,tap,rctrl
023,73,54.0198773278,stimulus,
023,73,54.1849569078,tap,rctrl
023,74,54.7699595140,stimulus,
023,74,54.8969421522,tap,rctrl
023,75,55.5199922931,stimulus,
023,75,55.6569556004,tap,rctrl
023,76,56.2700520193,stimulus,
023,76,56.4089248651,tap,rctrl
023,77,57.0201122779,stimulus,
023,77,57.1449498428,tap,rctrl
023,78,57.7701575471,stimulus,
023,78,57.8648938097,tap,rctrl
023,79,58.5201956494,stimulus,
023,79,58.6169564180,tap,rctrl
023,80,65.5097912877,probe1,3
023,80,72.1140895120,probe2,0
023,80,78.7779690890,probe3,2
