# {'date': u'2021_jun_09_1147', 'frameRate': 99.619208365979347, 'expName': u'FTRNGT_sleep', u'session': u'day2', u'participant': u'024'}
subj,trial,time,stimulus,response
024,1,0.0101679427,stimulus,
024,1,0.3397496460,tap,lctrl
024,2,0.7602225562,stimulus,
024,2,0.8836659165,tap,rctrl
024,3,1.5102528301,stimulus,
024,3,1.6037354102,tap,lctrl
024,4,2.2603115277,stimulus,
024,4,2.3717407807,tap,lctrl
024,5,3.0103580150,stimulus,
024,5,3.0916729102,tap,lctrl
024,6,3.7603920662,stimulus,
024,6,3.8356751216,tap,rctrl
024,7,4.5104664690,stimulus,
024,7,4.5956968043,tap,rctrl
024,8,5.2605128179,stimulus,
024,8,5.4436712471,tap,rctrl
024,9,6.0105787787,stimulus,
024,9,6.2196218456,tap,lctrl
024,10,6.7606196570,stimulus,
024,10,6.8836614057,tap,rctrl
024,11,7.5106777892,stimulus,
024,11,7.6516127256,tap,rctrl
024,12,8.2607013714,stimulus,
024,12,8.4436207560,tap,rctrl
024,13,9.0107895606,stimulus,
024,13,9.1555678834,tap,rctrl
024,14,9.7608502161,stimulus,
024,14,9.9475744372,tap,lctrl
024,15,10.5108888749,stimulus,
024,15,10.6675476279,tap,rctrl
024,16,11.2609416327,stimulus,
024,16,11.4035593215,tap,rctrl
024,17,12.0109944447,stimulus,
024,17,12.0995524056,tap,rctrl
024,18,12.7610343365,stimulus,
024,18,12.9555439042,tap,lctrl
024,19,13.5110803817,stimulus,
024,19,13.6115230194,tap,lctrl
024,20,14.2611547424,stimulus,
024,20,14.3235001615,tap,rctrl
024,20,15.0035247933,tap,lctrl
024,21,15.0136948924,stimulus,
024,22,15.7637840289,stimulus,
024,22,15.8994877861,tap,lctrl
024,23,16.5138082036,stimulus,
024,23,16.6194856895,tap,lctrl
024,24,17.2638628862,stimulus,
024,24,17.3875117937,tap,lctrl
024,25,18.0138912353,stimulus,
024,25,18.1394863997,tap,lctrl
024,26,18.7639430789,stimulus,
024,26,18.8834636729,tap,rctrl
024,27,19.5139885556,stimulus,
024,27,19.6034683642,tap,rctrl
024,28,20.2640608772,stimulus,
024,28,20.3714392147,tap,lctrl
024,29,21.0140790129,stimulus,
024,29,21.1635084356,tap,rctrl
024,30,21.7641289768,stimulus,
024,30,22.0194226056,tap,lctrl
024,31,22.5141990067,stimulus,
024,31,22.5313830786,tap,rctrl
024,32,23.2642551209,stimulus,
024,32,23.3153653734,tap,rctrl
024,32,24.0114024902,tap,lctrl
024,33,24.0215904357,stimulus,
024,34,24.7716475876,stimulus,
024,34,24.9073752183,tap,rctrl
024,35,25.5217231122,stimulus,
024,35,25.6673492232,tap,rctrl
024,36,26.2717529078,stimulus,
024,36,26.4193281660,tap,rctrl
024,37,27.0217848208,stimulus,
024,37,27.2193213579,tap,lctrl
024,38,27.7718603484,stimulus,
024,38,27.8593184209,tap,rctrl
024,39,28.5218992387,stimulus,
024,39,28.5632869672,tap,lctrl
024,40,29.2719619604,stimulus,
024,40,29.3473173700,tap,rctrl
024,41,30.0220014191,stimulus,
024,41,30.1152336135,tap,rctrl
024,42,30.7720515605,stimulus,
024,42,30.8672791121,tap,rctrl
024,43,31.5221207332,stimulus,
024,43,31.6192431348,tap,rctrl
024,44,32.2721642491,stimulus,
024,44,32.3552456705,tap,rctrl
024,45,33.0221884899,stimulus,
024,45,33.1472504318,tap,rctrl
024,46,33.7722509770,stimulus,
024,46,33.8752059931,tap,rctrl
024,47,34.5222841381,stimulus,
024,47,34.6272273355,tap,lctrl
024,48,35.2723606491,stimulus,
024,48,35.4112215912,tap,lctrl
024,49,36.0223626224,stimulus,
024,49,36.1071916379,tap,rctrl
024,50,36.7724198104,stimulus,
024,50,36.8591613928,tap,lctrl
024,51,37.5224580541,stimulus,
024,51,37.5711519695,tap,rctrl
024,52,38.2724968692,stimulus,
024,52,38.4271997444,tap,lctrl
024,53,39.0225436211,stimulus,
024,53,39.1071628368,tap,lctrl
024,54,39.7726064691,stimulus,
024,54,39.7827300754,tap,rctrl
024,55,40.5226743426,stimulus,
024,55,40.6831335533,tap,rctrl
024,56,41.2726954316,stimulus,
024,56,41.3150859907,tap,lctrl
024,57,42.0227296633,stimulus,
024,57,42.0670970746,tap,rctrl
024,58,42.7727908963,stimulus,
024,58,42.9230796049,tap,lctrl
024,59,43.5228146349,stimulus,
024,59,43.6271007373,tap,lctrl
024,60,44.2728607973,stimulus,
024,60,44.3710699925,tap,rctrl
024,61,45.0229505293,stimulus,
024,61,45.2030424856,tap,lctrl
024,62,45.7729930497,stimulus,
024,62,45.8350497646,tap,rctrl
024,63,46.5230853140,stimulus,
024,63,46.5550304590,tap,lctrl
024,64,47.2731281351,stimulus,
024,64,47.3710454441,tap,lctrl
024,65,48.0231404091,stimulus,
024,65,48.1949994677,tap,lctrl
024,66,48.7731726589,stimulus,
024,66,48.9149968838,tap,rctrl
024,67,49.5232440301,stimulus,
024,67,49.5389877595,tap,lctrl
024,68,50.2732880843,stimulus,
024,68,50.4510080700,tap,rctrl
024,69,51.0233510616,stimulus,
024,69,51.0909954879,tap,rctrl
024,69,51.6829442660,tap,lctrl
024,70,51.7733857836,stimulus,
024,71,52.5234534466,stimulus,
024,71,52.6109513323,tap,rctrl
024,72,53.2734763491,stimulus,
024,72,53.3229317226,tap,lctrl
024,73,54.0235297866,stimulus,
024,73,54.1869241330,tap,lctrl
024,74,54.7735555162,stimulus,
024,74,54.9949185915,tap,lctrl
024,75,55.5236193145,stimulus,
024,75,55.7228911752,tap,lctrl
024,76,56.2736656755,stimulus,
024,76,56.4109254554,tap,rctrl
024,77,57.0237056816,stimulus,
024,77,57.0988818627,tap,lctrl
024,78,57.7737841024,stimulus,
024,78,57.9468590332,tap,rctrl
024,79,58.5238238589,stimulus,
