# {'date': u'2021_jun_09_1135', 'frameRate': 99.777459809343398, 'expName': u'FTRNGT_sleep', u'session': u'training', u'participant': u'024'}
subj,trial,time,stimulus,response
024,1,0.0101401174,stimulus,
024,2,0.7601877565,stimulus,
024,3,1.5102658375,stimulus,
024,3,1.8181557843,tap,rctrl
024,4,2.2602976151,stimulus,
024,4,2.4581463691,tap,lctrl
024,5,3.0103185597,stimulus,
024,5,3.2180921427,tap,rctrl
024,6,3.7603738378,stimulus,
024,6,3.9461057727,tap,rctrl
024,7,4.5104010230,stimulus,
024,7,4.6340768144,tap,rctrl
024,8,5.2604890798,stimulus,
024,8,5.4420510324,tap,lctrl
024,9,6.0105235100,stimulus,
024,9,6.1780934716,tap,rctrl
024,10,6.7605777325,stimulus,
024,10,6.9540520700,tap,rctrl
024,11,7.5106121056,stimulus,
024,11,7.6580194886,tap,rctrl
024,12,8.2606621928,stimulus,
024,12,8.3700424770,tap,rctrl
024,13,9.0107177687,stimulus,
024,13,9.0820177996,tap,lctrl
024,14,9.7607673928,stimulus,
024,14,9.8500008155,tap,lctrl
024,15,10.5108124996,stimulus,
024,15,10.5540091088,tap,rctrl
024,15,11.2500061207,tap,lctrl
024,16,11.2608587101,stimulus,
024,17,12.0109175822,stimulus,
024,17,12.1699731869,tap,rctrl
024,18,12.7609363825,stimulus,
024,18,12.9219603131,tap,lctrl
024,19,13.5109908847,stimulus,
024,19,13.6179244320,tap,lctrl
024,20,14.2610507493,stimulus,
024,20,14.3939243263,tap,rctrl
024,21,15.0111086079,stimulus,
024,21,15.1138991291,tap,lctrl
024,22,15.7611586530,stimulus,
024,22,15.8578963089,tap,lctrl
024,23,16.5111876938,stimulus,
024,23,16.6179217420,tap,lctrl
024,24,17.2612722950,stimulus,
024,24,17.3778823937,tap,lctrl
024,25,18.0112894862,stimulus,
024,25,18.1298956761,tap,rctrl
024,26,18.7613508666,stimulus,
024,26,18.8258617769,tap,lctrl
024,27,19.5114153116,stimulus,
024,27,19.5858441607,tap,rctrl
024,28,20.2614436907,stimulus,
024,28,20.2818685167,tap,rctrl
024,29,21.0115251762,stimulus,
024,29,21.0818700153,tap,rctrl
024,30,21.7615626379,stimulus,
024,30,21.8338213163,tap,rctrl
024,31,22.5116105056,stimulus,
024,31,22.6178275508,tap,lctrl
024,32,23.2616582109,stimulus,
024,32,23.3778710439,tap,lctrl
024,33,24.0117056846,stimulus,
024,33,24.0737757197,tap,lctrl
024,34,24.7617503102,stimulus,
024,34,24.8337969994,tap,rctrl
024,35,25.5118286408,stimulus,
024,35,25.5297573860,tap,lctrl
024,36,26.2618690980,stimulus,
024,36,26.2737923249,tap,rctrl
024,37,27.0119210198,stimulus,
024,37,27.0497821290,tap,rctrl
024,38,27.7619971278,stimulus,
024,38,27.8177057048,tap,lctrl
024,39,28.5120277836,stimulus,
024,39,28.5697031407,tap,rctrl
024,40,29.2620853956,stimulus,
024,40,29.3056971231,tap,rctrl
024,41,30.0121365986,stimulus,
024,41,30.1057143359,tap,rctrl
024,42,30.7621803641,stimulus,
024,42,30.8496662138,tap,rctrl
024,43,31.5122187943,stimulus,
024,43,31.5856676579,tap,lctrl
024,44,32.2622738108,stimulus,
024,44,32.3616774197,tap,rctrl
024,45,33.0123004215,stimulus,
024,45,33.0816744389,tap,lctrl
024,46,33.7623537959,stimulus,
024,46,33.8896318060,tap,lctrl
024,47,34.5124042831,stimulus,
024,47,34.6256191027,tap,rctrl
024,47,35.2496366910,tap,lctrl
024,48,35.2624504606,stimulus,
024,49,36.0124967914,stimulus,
024,49,36.0976111428,tap,lctrl
024,50,36.7625451854,stimulus,
024,50,36.8816224088,tap,lctrl
024,51,37.5126104605,stimulus,
024,51,37.6816104730,tap,lctrl
024,52,38.2626324337,stimulus,
024,52,38.3616692368,tap,lctrl
024,53,39.0127055733,stimulus,
024,53,39.1135838042,tap,lctrl
024,54,39.7627514200,stimulus,
024,54,39.8415490887,tap,lctrl
024,55,40.5127904607,stimulus,
024,55,40.6015636948,tap,lctrl
024,55,41.2495574470,tap,lctrl
024,56,41.2628570710,stimulus,
024,57,42.0128989719,stimulus,
024,57,42.1775442398,tap,rctrl
024,58,42.7629486140,stimulus,
024,58,42.9775107913,tap,lctrl
024,59,43.5129883885,stimulus,
024,59,43.6814952623,tap,rctrl
024,60,44.2630352156,stimulus,
024,60,44.3774877810,tap,rctrl
024,61,45.0130795344,stimulus,
024,61,45.1534646048,tap,lctrl
024,62,45.7631273811,stimulus,
024,62,45.9134569705,tap,rctrl
024,63,46.5131791555,stimulus,
024,63,46.6654874858,tap,lctrl
024,64,47.2632500576,stimulus,
024,64,47.4174408619,tap,rctrl
024,65,48.0132764277,stimulus,
024,65,48.1854646353,tap,rctrl
024,66,48.7633396306,stimulus,
024,66,48.8094196527,tap,rctrl
024,67,49.5133858081,stimulus,
024,67,49.5934236617,tap,lctrl
024,68,50.2634367284,stimulus,
024,68,50.2735655466,tap,rctrl
024,69,51.0135136244,stimulus,
024,69,51.1374340332,tap,rctrl
024,70,51.7635757115,stimulus,
024,70,52.0013718546,tap,lctrl
024,71,52.5136230198,stimulus,
024,71,52.6493555166,tap,rctrl
024,72,53.2636833806,stimulus,
024,72,53.3533615483,tap,rctrl
024,73,54.0137434286,stimulus,
024,73,54.1134091527,tap,lctrl
024,74,54.7637825986,stimulus,
024,74,54.8413336556,tap,rctrl
024,75,55.5138561473,stimulus,
024,75,55.6572969177,tap,lctrl
024,76,56.2638807731,stimulus,
024,76,56.4253496593,tap,lctrl
024,77,57.0139369294,stimulus,
024,77,57.1533091544,tap,lctrl
024,78,57.7639808332,stimulus,
024,78,57.8812997469,tap,lctrl
024,79,58.5140630164,stimulus,
024,79,58.6172685386,tap,rctrl
024,80,65.7304835267,probe1,1
024,80,72.0135027703,probe2,1
024,80,76.9645359769,probe3,1
024,1,0.0101212664,stimulus,
024,1,0.0202757025,tap,rctrl
024,2,0.7601849926,stimulus,
024,2,0.9637089069,tap,lctrl
024,3,1.5102601052,stimulus,
024,4,2.2603030827,stimulus,
024,4,2.3716615784,tap,rctrl
024,5,3.0103483910,stimulus,
024,5,3.2676891210,tap,lctrl
024,6,3.7603966015,stimulus,
024,6,4.0116559432,tap,rctrl
024,7,4.5104061297,stimulus,
024,7,4.6915970299,tap,rctrl
024,8,5.2604986857,stimulus,
024,8,5.4756421363,tap,lctrl
024,9,6.0105350919,stimulus,
024,9,6.1475829849,tap,rctrl
024,10,6.7605992571,stimulus,
024,10,6.9955982724,tap,lctrl
024,11,7.5106705803,stimulus,
024,11,7.5955884220,tap,rctrl
024,12,8.2607249562,stimulus,
024,12,8.3155421724,tap,lctrl
024,13,9.0107665111,stimulus,
024,13,9.0835411580,tap,rctrl
024,14,9.7608212118,stimulus,
024,14,9.7716822403,tap,lctrl
024,15,10.5108793922,stimulus,
024,15,10.5795586397,tap,rctrl
024,16,11.2609165743,stimulus,
024,16,11.4035003957,tap,rctrl
024,17,12.0109427098,stimulus,
024,17,12.2354867894,tap,lctrl
024,18,12.7610007128,stimulus,
024,18,12.9154669734,tap,lctrl
024,19,13.5110563398,stimulus,
024,19,13.6275209691,tap,lctrl
024,20,14.2611109052,stimulus,
024,20,14.3794752294,tap,rctrl
024,21,15.0111524240,stimulus,
024,21,15.0994620652,tap,lctrl
024,22,15.7612132059,stimulus,
024,22,15.8834464984,tap,lctrl
024,23,16.5112377715,stimulus,
024,23,16.6274016906,tap,lctrl
024,24,17.2613065473,stimulus,
024,24,17.3874317944,tap,lctrl
024,25,18.0113646856,stimulus,
024,25,18.1154283538,tap,rctrl
024,26,18.7614319275,stimulus,
024,26,18.8114046260,tap,lctrl
024,27,19.5114685833,stimulus,
024,27,19.5313564124,tap,lctrl
024,28,20.2614935610,stimulus,
024,28,20.3074016747,tap,lctrl
024,29,21.0115565744,stimulus,
024,29,21.0753812169,tap,lctrl
024,30,21.7616347275,stimulus,
024,30,21.8993753545,tap,lctrl
024,31,22.5116746133,stimulus,
024,31,22.5873776350,tap,rctrl
024,32,23.2617584596,stimulus,
024,32,23.4274112768,tap,rctrl
024,33,24.0118017409,stimulus,
024,33,24.1233220037,tap,lctrl
024,34,24.7618361080,stimulus,
024,34,24.8512990956,tap,rctrl
024,35,25.5118997078,stimulus,
024,35,25.6032854970,tap,rctrl
024,36,26.2619211457,stimulus,
024,36,26.3152504679,tap,rctrl
024,37,27.0120098281,stimulus,
024,37,27.0672962613,tap,lctrl
024,38,27.7620422342,stimulus,
024,38,27.7721711637,tap,rctrl
024,39,28.5120994823,stimulus,
024,39,28.5632712651,tap,rctrl
