# {'date': u'2022_jan_28_1125', 'frameRate': 99.784248939799866, 'expName': u'FTRNGT_sleep', u'session': u'day1', u'participant': u'025'}
subj,trial,time,stimulus,response
025,1,0.0101829588,stimulus,
025,1,0.4687095509,tap,rctrl
025,2,0.7602046676,stimulus,
025,2,1.0926844724,tap,rctrl
025,3,1.5102532060,stimulus,
025,3,1.8206414867,tap,lctrl
025,4,2.2603195906,stimulus,
025,4,2.4686193251,tap,rctrl
025,5,3.0103559097,stimulus,
025,5,3.3486086619,tap,rctrl
025,6,3.7604168238,stimulus,
025,6,4.0126322276,tap,lctrl
025,7,4.5104516962,stimulus,
025,7,4.9005681677,tap,lctrl
025,8,5.2604812785,stimulus,
025,8,5.4925520872,tap,rctrl
025,9,6.0105203193,stimulus,
025,9,6.2685379212,tap,rctrl
025,10,6.7605755463,stimulus,
025,10,7.0765089107,tap,rctrl
025,11,7.5106275793,stimulus,
025,11,7.7085046448,tap,lctrl
025,12,8.2606800244,stimulus,
025,12,8.4924751205,tap,rctrl
025,13,9.0107544450,stimulus,
025,13,9.2444363839,tap,lctrl
025,14,9.7608308175,stimulus,
025,14,10.0044567810,tap,lctrl
025,15,10.5108704087,stimulus,
025,15,10.7644282105,tap,rctrl
025,16,11.2609466939,stimulus,
025,16,11.4044320265,tap,rctrl
025,17,12.0110095118,stimulus,
025,17,12.4444114348,tap,lctrl
025,18,12.7610784017,stimulus,
025,18,13.0284004782,tap,rctrl
025,19,13.5111155387,stimulus,
025,19,13.6603597588,tap,rctrl
025,20,14.2611596531,stimulus,
025,20,14.4603579199,tap,rctrl
025,21,15.0112105072,stimulus,
025,21,15.1643265104,tap,lctrl
025,22,15.7612580802,stimulus,
025,22,15.8923844793,tap,rctrl
025,23,16.5112997676,stimulus,
025,23,16.6842934020,tap,lctrl
025,24,17.2613568592,stimulus,
025,24,17.3723125974,tap,rctrl
025,25,18.0114188078,stimulus,
025,25,18.1242493018,tap,rctrl
025,26,18.7614729070,stimulus,
025,26,18.8282553954,tap,lctrl
025,27,19.5115127538,stimulus,
025,27,19.6442343526,tap,lctrl
025,28,20.2615725401,stimulus,
025,28,20.5402246535,tap,rctrl
025,29,21.0116205281,stimulus,
025,29,21.1241848553,tap,lctrl
025,30,21.7616712920,stimulus,
025,30,21.8521646902,tap,lctrl
025,31,22.5117277099,stimulus,
025,31,22.6441298014,tap,lctrl
025,32,23.2617639327,stimulus,
025,32,23.3561139143,tap,lctrl
025,33,24.0118322843,stimulus,
025,33,24.0840923688,tap,rctrl
025,34,24.7618820046,stimulus,
025,34,25.0921385454,tap,rctrl
025,35,25.5119450119,stimulus,
025,35,25.7560929664,tap,rctrl
025,36,26.2619894721,stimulus,
025,36,26.4920677617,tap,lctrl
025,37,27.0120529035,stimulus,
025,37,27.1720922193,tap,rctrl
025,38,27.7622155662,stimulus,
025,38,27.8600386670,tap,lctrl
025,39,28.5121527982,stimulus,
025,39,28.6680179271,tap,lctrl
025,40,29.2622266625,stimulus,
025,40,29.4440088527,tap,rctrl
025,41,30.0122738986,stimulus,
025,41,30.2119895100,tap,rctrl
025,42,30.7623406893,stimulus,
025,42,30.8919684796,tap,rctrl
025,43,31.5123827947,stimulus,
025,43,31.5559221216,tap,rctrl
025,43,32.2439710308,tap,lctrl
025,44,32.2624230234,stimulus,
025,45,33.0124822624,stimulus,
025,45,33.0279096514,tap,lctrl
025,46,33.7625471012,stimulus,
025,46,33.9079038663,tap,lctrl
025,47,34.5125796760,stimulus,
025,47,34.6278827591,tap,lctrl
025,48,35.2626405810,stimulus,
025,48,35.4198578160,tap,lctrl
025,49,36.0126868698,stimulus,
025,49,36.0918367547,tap,rctrl
025,50,36.7627372999,stimulus,
025,50,36.9798287780,tap,rctrl
025,51,37.5127860458,stimulus,
025,51,37.5717958046,tap,lctrl
025,52,38.2628637596,stimulus,
025,52,38.3718141609,tap,rctrl
025,53,39.0129181685,stimulus,
025,53,39.0997651602,tap,lctrl
025,54,39.7629696001,stimulus,
025,54,39.8677280824,tap,lctrl
025,55,40.5130123100,stimulus,
025,55,40.6677475846,tap,lctrl
025,56,41.2630792902,stimulus,
025,56,41.4197653823,tap,lctrl
025,57,42.0131522612,stimulus,
025,57,42.0836915512,tap,rctrl
025,58,42.7632052446,stimulus,
025,58,42.8517184512,tap,rctrl
025,58,43.4997084007,tap,lctrl
025,59,43.5132419756,stimulus,
025,60,44.2633300833,stimulus,
025,60,44.4676611311,tap,rctrl
025,61,45.0133691451,stimulus,
025,61,45.2196318710,tap,lctrl
025,62,45.7634163181,stimulus,
025,62,45.9716484778,tap,rctrl
025,63,46.5134717405,stimulus,
025,63,46.6835775600,tap,rctrl
025,64,47.2635224623,stimulus,
025,64,47.3315713560,tap,rctrl
025,65,48.0135943657,stimulus,
025,65,48.1475499162,tap,lctrl
025,66,48.7636268412,stimulus,
025,66,48.9315664242,tap,lctrl
025,67,49.5136850065,stimulus,
025,67,49.6595267497,tap,lctrl
025,68,50.2637431838,stimulus,
025,68,50.3475083999,tap,rctrl
025,69,51.0137591272,stimulus,
025,69,51.1234478226,tap,rctrl
025,70,51.7638274848,stimulus,
025,70,51.8674640075,tap,lctrl
025,71,52.5138775750,stimulus,
025,71,52.6034441470,tap,lctrl
025,72,53.2639458394,stimulus,
025,72,53.3874247669,tap,lctrl
025,73,54.0139825043,stimulus,
