# {'date': u'2022_jan_28_1110', 'frameRate': 99.786794332709036, 'expName': u'FTRNGT_sleep', u'session': u'training', u'participant': u'025'}
subj,trial,time,stimulus,response
025,1,0.0101293237,stimulus,
025,2,0.7601851582,stimulus,
025,3,1.5102408663,stimulus,
025,3,1.6322408779,tap,rctrl
025,4,2.2602931610,stimulus,
025,4,2.3921725126,tap,rctrl
025,5,3.0103333958,stimulus,
025,5,3.1281572927,tap,lctrl
025,6,3.7603862829,stimulus,
025,6,4.1441353330,tap,rctrl
025,7,4.5104630133,stimulus,
025,8,5.2605102494,stimulus,
025,8,5.5281360200,tap,rctrl
025,9,6.0105638975,stimulus,
025,9,6.3440802018,tap,lctrl
025,10,6.7606004241,stimulus,
025,10,7.1200659456,tap,rctrl
025,11,7.5106617412,stimulus,
025,11,7.9200418304,tap,lctrl
025,12,8.2607239003,stimulus,
025,12,8.4720343079,tap,rctrl
025,13,9.0107786401,stimulus,
025,13,9.5280299312,tap,rctrl
025,14,9.7608227124,stimulus,
025,15,10.5108663606,stimulus,
025,16,11.2609313047,stimulus,
025,16,11.4240066134,tap,lctrl
025,17,12.0109713500,stimulus,
025,17,12.3119609953,tap,lctrl
025,18,12.7610398790,stimulus,
025,18,13.2479549095,tap,lctrl
025,19,13.5110741379,stimulus,
025,19,14.1999281490,tap,lctrl
025,20,14.2611155125,stimulus,
025,20,14.9519639405,tap,lctrl
025,21,15.0111481654,stimulus,
025,21,15.5278717994,tap,rctrl
025,22,15.7611806680,stimulus,
025,23,16.5112691756,stimulus,
025,23,16.6158785658,tap,rctrl
025,24,17.2613441105,stimulus,
025,24,17.3998387529,tap,lctrl
025,25,18.0114186124,stimulus,
025,25,18.2318583337,tap,rctrl
025,26,18.7614611087,stimulus,
025,26,18.9918296489,tap,rctrl
025,27,19.5115154876,stimulus,
025,27,19.8958053224,tap,lctrl
025,28,20.2615721582,stimulus,
025,28,20.6637798955,tap,lctrl
025,29,21.0116292979,stimulus,
025,30,21.7616993787,stimulus,
025,30,21.8957632612,tap,rctrl
025,31,22.5117542148,stimulus,
025,31,22.8317418523,tap,rctrl
025,32,23.2618292248,stimulus,
025,33,24.0118576192,stimulus,
025,33,24.3597129613,tap,rctrl
025,34,24.7619333752,stimulus,
025,34,25.3276947769,tap,rctrl
025,35,25.5119812308,stimulus,
025,36,26.2620251978,stimulus,
025,36,26.2876340961,tap,rctrl
025,37,27.0120678566,stimulus,
025,37,27.2076469105,tap,rctrl
025,38,27.7621233483,stimulus,
025,38,28.0636092346,tap,rctrl
025,39,28.5121625003,stimulus,
025,39,29.1115748997,tap,rctrl
025,40,29.2622176762,stimulus,
025,41,30.0122811767,stimulus,
025,41,30.0955600583,tap,lctrl
025,42,30.7623321842,stimulus,
025,42,30.9115406966,tap,rctrl
025,43,31.5123728460,stimulus,
025,43,31.6635119689,tap,lctrl
025,44,32.2624701114,stimulus,
025,44,32.3675149497,tap,rctrl
025,45,33.0124639379,stimulus,
025,45,33.4714794749,tap,lctrl
025,46,33.7625714046,stimulus,
025,46,33.9114111203,tap,rctrl
025,47,34.5126146889,stimulus,
025,47,34.7594644797,tap,lctrl
025,48,35.2626280610,stimulus,
025,48,35.5353892079,tap,rctrl
025,49,36.0127077236,stimulus,
025,49,36.3273953380,tap,rctrl
025,50,36.7627369751,stimulus,
025,50,37.0713779866,tap,lctrl
025,51,37.5127626086,stimulus,
025,51,37.8473625635,tap,lctrl
025,52,38.2628160521,stimulus,
025,53,39.0128685965,stimulus,
025,53,39.1433575689,tap,rctrl
025,54,39.7629348548,stimulus,
025,54,39.9192815183,tap,rctrl
025,55,40.5129889781,stimulus,
025,55,40.9432869545,tap,rctrl
025,56,41.2630451734,stimulus,
025,56,41.8473293245,tap,lctrl
025,57,42.0130815977,stimulus,
025,57,42.5992511901,tap,rctrl
025,58,42.7631301632,stimulus,
025,59,43.5131737482,stimulus,
025,59,43.7432144354,tap,lctrl
025,60,44.2632363616,stimulus,
025,60,44.3272298483,tap,rctrl
025,61,45.0132918803,stimulus,
025,61,45.2232210183,tap,lctrl
025,62,45.7633375044,stimulus,
025,62,45.9752403198,tap,rctrl
025,63,46.5133899104,stimulus,
025,63,46.6791285507,tap,rctrl
025,64,47.2634391405,stimulus,
025,64,47.6791594155,tap,lctrl
025,65,48.0134903765,stimulus,
025,65,48.4151287011,tap,rctrl
025,66,48.7635417088,stimulus,
025,66,49.2390498226,tap,lctrl
025,67,49.5135589455,stimulus,
025,67,50.1910973706,tap,lctrl
025,68,50.2636066959,stimulus,
025,69,51.0136475472,stimulus,
025,69,51.0238158867,tap,lctrl
025,70,51.7637097124,stimulus,
025,70,51.8070788167,tap,rctrl
025,71,52.5137636041,stimulus,
025,71,52.6150363057,tap,lctrl
025,72,53.2637987682,stimulus,
025,72,53.6149972379,tap,rctrl
025,73,54.0138587861,stimulus,
025,73,54.4549542551,tap,lctrl
025,74,54.7638964856,stimulus,
025,74,55.1269558701,tap,rctrl
025,75,55.5139499201,stimulus,
025,75,55.9029122400,tap,lctrl
025,76,56.2640210536,stimulus,
025,76,56.6709651997,tap,rctrl
025,77,57.0140960125,stimulus,
025,77,57.5029582185,tap,lctrl
025,78,57.7641378803,stimulus,
025,78,58.1908558280,tap,lctrl
025,79,58.5141809722,stimulus,
025,79,58.9109126473,tap,rctrl
025,80,78.0458788889,probe1,1
025,80,83.2175691369,probe2,3
025,80,89.7212403585,probe3,3
