# {'date': u'2021_okt_10_1122', 'frameRate': 99.772484922554014, 'expName': u'FTRNGT_sleep', u'session': u'training', u'participant': u'026'}
subj,trial,time,stimulus,response
026,1,0.0101541894,stimulus,
026,1,0.5189187571,tap,rctrl
026,2,0.7601658262,stimulus,
026,2,1.0708745585,tap,lctrl
026,3,1.5102198682,stimulus,
026,3,1.7989307862,tap,rctrl
026,4,2.2602527918,stimulus,
026,4,2.5108622322,tap,lctrl
026,5,3.0102980280,stimulus,
026,5,3.2228539359,tap,rctrl
026,6,3.7603618232,stimulus,
026,6,4.0068242221,tap,lctrl
026,7,4.5104472151,stimulus,
026,7,4.7108310525,tap,lctrl
026,8,5.2604702772,stimulus,
026,8,5.4148212125,tap,lctrl
026,9,6.0105146352,stimulus,
026,9,6.1508115835,tap,rctrl
026,10,6.7605669149,stimulus,
026,10,6.9107704568,tap,lctrl
026,11,7.5106485684,stimulus,
026,11,7.6707703520,tap,rctrl
026,12,8.2607038586,stimulus,
026,12,8.3828656719,tap,rctrl
026,13,9.0107525172,stimulus,
026,13,9.1907039119,tap,lctrl
026,14,9.7607998045,stimulus,
026,14,9.8787460241,tap,rctrl
026,15,10.5108205358,stimulus,
026,15,10.6546750651,tap,rctrl
026,16,11.2608971459,stimulus,
026,16,11.4226855173,tap,rctrl
026,17,12.0109232125,stimulus,
026,17,12.1666686802,tap,lctrl
026,18,12.7609794801,stimulus,
026,18,12.8466398816,tap,lctrl
026,19,13.5110357296,stimulus,
026,19,13.7506297052,tap,rctrl
026,20,14.2611304296,stimulus,
026,20,14.4866141364,tap,lctrl
026,21,15.0111435821,stimulus,
026,21,15.2705578336,tap,rctrl
026,22,15.7612034977,stimulus,
026,22,15.9585939700,tap,lctrl
026,23,16.5112517804,stimulus,
026,23,16.7025559363,tap,lctrl
026,24,17.2613072961,stimulus,
026,24,17.4465718024,tap,rctrl
026,25,18.0113301567,stimulus,
026,25,18.2305217221,tap,rctrl
026,26,18.7613869566,stimulus,
026,26,18.9265142270,tap,lctrl
026,27,19.5114184637,stimulus,
026,27,19.6305101554,tap,rctrl
026,28,20.2614935309,stimulus,
026,28,20.3984668521,tap,lctrl
026,29,21.0115597713,stimulus,
026,29,21.0944162450,tap,rctrl
026,30,21.7616054285,stimulus,
026,30,21.8304526904,tap,rctrl
026,31,22.5116679486,stimulus,
026,31,22.6224152453,tap,lctrl
026,32,23.2617477586,stimulus,
026,32,23.4464502114,tap,lctrl
026,33,24.0118081584,stimulus,
026,33,24.1983837068,tap,rctrl
026,34,24.7618519299,stimulus,
026,34,24.8143680770,tap,rctrl
026,35,25.5118725680,stimulus,
026,35,25.6703779553,tap,rctrl
026,36,26.2619453015,stimulus,
026,36,26.4223766797,tap,rctrl
026,37,27.0119853197,stimulus,
026,37,27.1742973783,tap,lctrl
026,38,27.7620326340,stimulus,
026,38,27.8622882073,tap,rctrl
026,39,28.5120860926,stimulus,
026,39,28.6462940989,tap,lctrl
026,40,29.2621369588,stimulus,
026,40,29.3582460649,tap,rctrl
026,41,30.0122006879,stimulus,
026,41,30.1102122967,tap,lctrl
026,42,30.7622326430,stimulus,
026,42,30.8702408109,tap,lctrl
026,43,31.5122587758,stimulus,
026,43,31.6382228877,tap,rctrl
026,44,32.2622915761,stimulus,
026,44,32.3501464151,tap,lctrl
026,45,33.0123835603,stimulus,
026,45,33.0541301842,tap,lctrl
026,46,33.7624098404,stimulus,
026,46,33.8701386808,tap,lctrl
026,47,34.5124402227,stimulus,
026,47,34.6221299557,tap,rctrl
026,48,35.2624780335,stimulus,
026,48,35.4301327732,tap,lctrl
026,49,36.0125330890,stimulus,
026,49,36.1740889351,tap,rctrl
026,50,36.7625674412,stimulus,
026,50,36.9500838877,tap,rctrl
026,51,37.5126078744,stimulus,
026,51,37.6861087242,tap,rctrl
026,52,38.2626570804,stimulus,
026,52,38.3981208817,tap,rctrl
026,53,39.0127155134,stimulus,
026,53,39.1500421067,tap,lctrl
026,54,39.7627653750,stimulus,
026,54,39.7900431198,tap,rctrl
026,55,40.5127937333,stimulus,
026,55,40.5739970213,tap,lctrl
026,56,41.2628648517,stimulus,
026,56,41.2859916062,tap,rctrl
026,57,42.0129196938,stimulus,
026,57,42.1019875826,tap,lctrl
026,58,42.7629715885,stimulus,
026,58,42.8539455558,tap,rctrl
026,59,43.5130094082,stimulus,
026,59,43.6459161707,tap,lctrl
026,60,44.2631002496,stimulus,
026,60,44.3579269237,tap,lctrl
026,61,45.0131306500,stimulus,
026,61,45.1658979313,tap,lctrl
026,62,45.7631521572,stimulus,
026,62,45.9018792077,tap,lctrl
026,63,46.5132150562,stimulus,
026,63,46.7098622090,tap,rctrl
026,64,47.2632630623,stimulus,
026,64,47.4378331689,tap,lctrl
026,65,48.0133045060,stimulus,
026,65,48.1178249564,tap,rctrl
026,66,48.7633719584,stimulus,
026,66,48.8618143117,tap,lctrl
026,67,49.5134299973,stimulus,
026,67,49.6217365059,tap,lctrl
026,68,50.2634835702,stimulus,
026,68,50.4137803346,tap,rctrl
026,69,51.0135657411,stimulus,
026,69,51.1657485392,tap,lctrl
026,70,51.7636049713,stimulus,
026,70,51.8777550366,tap,rctrl
026,71,52.5136143525,stimulus,
026,71,52.5896832527,tap,lctrl
026,72,53.2636715854,stimulus,
026,72,53.3496698218,tap,rctrl
026,73,54.0137218591,stimulus,
026,73,54.1496889299,tap,lctrl
026,74,54.7638086555,stimulus,
026,74,54.9416789039,tap,lctrl
026,75,55.5138246110,stimulus,
026,75,55.6456470763,tap,lctrl
026,76,56.2638964031,stimulus,
026,76,56.4056638404,tap,rctrl
026,77,57.0139623637,stimulus,
026,77,57.2136019523,tap,rctrl
026,78,57.7639912362,stimulus,
026,78,57.7975757749,tap,lctrl
026,79,58.5140606946,stimulus,
026,79,58.6936077322,tap,rctrl
026,80,63.2133850185,probe1,2
026,80,65.6791127031,probe2,0
026,80,69.1662911069,probe3,0
