# {'date': u'2021_okt_03_0943', 'frameRate': 99.782278089218678, 'expName': u'FTRNGT_sleep', u'session': u'day1', u'participant': u'027'}
subj,trial,time,stimulus,response
027,1,0.0101599593,stimulus,
027,1,0.6393153506,tap,rctrl
027,2,0.7602054074,stimulus,
027,2,1.3672594416,tap,rctrl
027,3,1.5102113584,stimulus,
027,3,2.1992766903,tap,lctrl
027,4,2.2602852423,stimulus,
027,5,3.0103352468,stimulus,
027,5,3.0232744244,tap,lctrl
027,6,3.7603889956,stimulus,
027,6,3.8232704438,tap,lctrl
027,7,4.5104661276,stimulus,
027,7,4.6072448261,tap,lctrl
027,8,5.2604922768,stimulus,
027,8,5.4312400880,tap,lctrl
027,9,6.0105178425,stimulus,
027,9,6.1672713800,tap,lctrl
027,10,6.7605925204,stimulus,
027,10,6.8791581320,tap,lctrl
027,11,7.5106339295,stimulus,
027,11,7.5431361301,tap,lctrl
027,11,8.2551938815,tap,rctrl
027,12,8.2653817382,stimulus,
027,13,9.0154284374,stimulus,
027,13,9.1351506778,tap,rctrl
027,14,9.7654860960,stimulus,
027,14,9.9431302965,tap,rctrl
027,15,10.5155142602,stimulus,
027,15,10.7431553140,tap,rctrl
027,16,11.2655491521,stimulus,
027,16,11.4791158159,tap,rctrl
027,17,12.0156167053,stimulus,
027,17,12.1750859701,tap,rctrl
027,18,12.7656829562,stimulus,
027,18,12.9030933805,tap,rctrl
027,19,13.5157123414,stimulus,
027,19,13.5990511800,tap,rctrl
027,20,14.2657639098,stimulus,
027,20,14.3910487641,tap,rctrl
027,21,15.0158179113,stimulus,
027,21,15.2231640808,tap,rctrl
027,22,15.7658381417,stimulus,
027,22,15.8870067935,tap,rctrl
027,23,16.5159060227,stimulus,
027,23,16.5990052042,tap,rctrl
027,24,17.2659520633,stimulus,
027,24,17.3749751213,tap,rctrl
027,25,18.0160241849,stimulus,
027,25,18.2229783053,tap,rctrl
027,26,18.7660580422,stimulus,
027,26,19.0229425898,tap,rctrl
027,27,19.5161175925,stimulus,
027,27,19.7349665310,tap,rctrl
027,28,20.2661306170,stimulus,
027,28,20.3829136922,tap,lctrl
027,29,21.0162195834,stimulus,
027,29,21.1989843164,tap,lctrl
027,30,21.7662810013,stimulus,
027,30,21.9029347196,tap,lctrl
027,31,22.5163154872,stimulus,
027,31,22.6788891602,tap,lctrl
027,32,23.2663649775,stimulus,
027,32,23.3828435182,tap,lctrl
027,33,24.0164066663,stimulus,
027,33,24.2308832973,tap,lctrl
027,34,24.7664571370,stimulus,
027,34,24.8948432656,tap,lctrl
027,35,25.5165000619,stimulus,
027,35,25.5908302888,tap,lctrl
027,36,26.2665659970,stimulus,
027,36,26.3508056210,tap,lctrl
027,37,27.0166207443,stimulus,
027,37,27.0868170275,tap,lctrl
027,38,27.7666804179,stimulus,
027,38,27.9508078912,tap,lctrl
027,39,28.5167111504,stimulus,
027,39,28.7827718083,tap,lctrl
027,40,29.2667654256,stimulus,
027,40,29.5027261225,tap,lctrl
027,41,30.0168133730,stimulus,
027,41,30.2707788484,tap,lctrl
027,42,30.7668641654,stimulus,
027,42,30.9907198094,tap,lctrl
027,43,31.5168994393,stimulus,
027,43,31.6387089399,tap,lctrl
027,44,32.2669586708,stimulus,
027,44,32.3587189708,tap,lctrl
027,45,33.0169962183,stimulus,
027,45,33.1427185467,tap,lctrl
027,46,33.7670687158,stimulus,
027,46,33.9346802035,tap,lctrl
027,47,34.5171418598,stimulus,
027,47,34.6626404566,tap,lctrl
027,48,35.2671818254,stimulus,
027,48,35.4146293023,tap,lctrl
027,49,36.0172550326,stimulus,
027,49,36.1106649023,tap,rctrl
027,50,36.7673386728,stimulus,
027,50,36.8146640146,tap,rctrl
027,51,37.5173815044,stimulus,
