# {'date': u'2021_sep_30_1134', 'frameRate': 99.783753351703496, 'expName': u'FTRNGT_sleep', u'session': u'day2', u'participant': u'028'}
subj,trial,time,stimulus,response
028,1,0.0101719984,stimulus,
028,1,0.5835243019,tap,rctrl
028,2,0.7601820121,stimulus,
028,2,1.0955049895,tap,rctrl
028,3,1.5102464587,stimulus,
028,3,1.6874916129,tap,rctrl
028,4,2.2603112210,stimulus,
028,4,2.4554928275,tap,lctrl
028,5,3.0103372016,stimulus,
028,5,3.2154715142,tap,lctrl
028,6,3.7603991098,stimulus,
028,6,3.8714592973,tap,lctrl
028,7,4.5104738179,stimulus,
028,7,4.6714664014,tap,lctrl
028,8,5.2605308089,stimulus,
028,8,5.3434402091,tap,rctrl
028,9,6.0105710270,stimulus,
028,9,6.2634811795,tap,rctrl
028,10,6.7606560599,stimulus,
028,10,6.9194550227,tap,lctrl
028,11,7.5106929246,stimulus,
028,11,7.6314216210,tap,lctrl
028,12,8.2607586253,stimulus,
028,12,8.3354250835,tap,rctrl
028,13,9.0107955472,stimulus,
028,13,9.0874094345,tap,lctrl
028,14,9.7608625772,stimulus,
028,14,9.8633620255,tap,lctrl
028,15,10.5109084253,stimulus,
028,15,10.6314302473,tap,lctrl
028,16,11.2609676448,stimulus,
028,16,11.3673913740,tap,lctrl
028,17,12.0110248162,stimulus,
028,17,12.1033781818,tap,lctrl
028,18,12.7610826643,stimulus,
028,18,12.9274179136,tap,rctrl
028,19,13.5111515499,stimulus,
028,19,13.6393470984,tap,rctrl
028,20,14.2611951966,stimulus,
028,20,14.3833717243,tap,lctrl
028,21,15.0112561063,stimulus,
028,21,15.0873862063,tap,rctrl
028,22,15.7612767666,stimulus,
028,22,15.8234465055,tap,rctrl
028,23,16.5113568251,stimulus,
028,23,16.6953469369,tap,lctrl
028,24,17.2614090221,stimulus,
028,24,17.4393559508,tap,lctrl
028,25,18.0114361004,stimulus,
028,25,18.1673482937,tap,lctrl
028,26,18.7614843906,stimulus,
028,26,18.9273394705,tap,rctrl
028,27,19.5115312944,stimulus,
028,27,19.6554419453,tap,lctrl
028,28,20.2616122852,stimulus,
028,28,20.3993108786,tap,rctrl
028,29,21.0116266809,stimulus,
028,29,21.1033217275,tap,lctrl
028,30,21.7616979454,stimulus,
028,30,21.9112989418,tap,rctrl
028,31,22.5117559589,stimulus,
028,31,22.6072715275,tap,rctrl
028,32,23.2618045409,stimulus,
028,32,23.3193629101,tap,rctrl
028,33,24.0118585965,stimulus,
028,33,24.0952143858,tap,lctrl
028,34,24.7619098401,stimulus,
028,34,24.7832323290,tap,lctrl
028,35,25.5119957212,stimulus,
028,35,25.7032484363,tap,rctrl
028,36,26.2620350490,stimulus,
028,36,26.3113575650,tap,rctrl
028,37,27.0120561213,stimulus,
028,37,27.1513694536,tap,lctrl
028,38,27.7621022071,stimulus,
028,38,27.8472308879,tap,rctrl
028,39,28.5121361936,stimulus,
028,39,28.6952057259,tap,lctrl
028,40,29.2621801711,stimulus,
028,40,29.4392410013,tap,rctrl
028,41,30.0122337605,stimulus,
028,41,30.2072355964,tap,rctrl
028,42,30.7622747125,stimulus,
028,42,30.8872202238,tap,lctrl
028,43,31.5123229666,stimulus,
028,43,31.5671927940,tap,lctrl
028,44,32.2623872628,stimulus,
028,44,32.4072140691,tap,lctrl
028,45,33.0124383229,stimulus,
028,45,33.1351959729,tap,lctrl
028,46,33.7624841350,stimulus,
028,46,33.8871590700,tap,lctrl
028,47,34.5125263741,stimulus,
028,47,34.6473054131,tap,rctrl
028,48,35.2625572238,stimulus,
028,48,35.3351753419,tap,rctrl
028,49,36.0126144854,stimulus,
028,49,36.1351855889,tap,lctrl
028,50,36.7626613682,stimulus,
028,50,36.9031231707,tap,rctrl
028,51,37.5127511139,stimulus,
028,51,37.6393779894,tap,lctrl
028,52,38.2627910673,stimulus,
028,52,38.4711186324,tap,lctrl
028,53,39.0128222929,stimulus,
028,53,39.2231089985,tap,lctrl
028,54,39.7628738313,stimulus,
028,54,39.8550817118,tap,lctrl
028,55,40.5129477845,stimulus,
028,55,40.5991180910,tap,lctrl
028,56,41.2630052236,stimulus,
028,56,41.3670677991,tap,lctrl
028,57,42.0130381004,stimulus,
028,57,42.0950628036,tap,lctrl
028,58,42.7630857019,stimulus,
028,58,42.9190877414,tap,rctrl
028,59,43.5131449695,stimulus,
028,59,43.6790436793,tap,lctrl
028,60,44.2631542434,stimulus,
028,60,44.5591119402,tap,lctrl
028,61,45.0132192403,stimulus,
028,61,45.1431182281,tap,rctrl
028,62,45.7632521923,stimulus,
028,62,46.1350811872,tap,rctrl
028,63,46.5133054509,stimulus,
028,63,46.6469991231,tap,rctrl
028,64,47.2633790102,stimulus,
028,64,47.3830595877,tap,rctrl
028,65,48.0134336914,stimulus,
028,65,48.0870492758,tap,rctrl
028,66,48.7634611245,stimulus,
028,66,48.8629744233,tap,lctrl
028,67,49.5135261004,stimulus,
028,67,49.6391447066,tap,lctrl
028,68,50.2635851395,stimulus,
028,68,50.4149866785,tap,lctrl
028,69,56.2398197486,probe1,2
028,69,61.2299528651,probe2,0
028,69,66.0911517265,probe3,3
028,70,66.8639557626,stimulus,
028,71,67.6139590034,stimulus,
028,71,67.9508433184,tap,rctrl
028,72,68.3640276785,stimulus,
028,72,68.5828024378,tap,rctrl
028,73,69.1140768529,stimulus,
028,73,69.1508209658,tap,lctrl
028,74,69.8641184816,stimulus,
028,74,69.9827754244,tap,lctrl
028,75,70.6141957371,stimulus,
028,75,70.8067978058,tap,lctrl
028,76,71.3642193176,stimulus,
028,76,71.4707952357,tap,lctrl
028,77,72.1142761011,stimulus,
028,77,72.2147872993,tap,rctrl
028,78,72.8643460363,stimulus,
028,78,72.9347716555,tap,rctrl
028,79,73.6143987656,stimulus,
028,79,73.7107341171,tap,lctrl
028,80,74.3644560664,stimulus,
028,80,74.3987309386,tap,lctrl
028,81,75.1145090122,stimulus,
028,81,75.3987680526,tap,rctrl
028,82,75.8645583250,stimulus,
028,82,76.0547175350,tap,rctrl
028,83,76.6145835988,stimulus,
028,83,76.7986997100,tap,lctrl
028,84,77.3646707941,stimulus,
028,84,77.4787377446,tap,rctrl
028,85,78.1147366392,stimulus,
028,85,78.2147163179,tap,lctrl
028,86,78.8647909053,stimulus,
028,86,78.9746803700,tap,lctrl
028,87,79.6148610090,stimulus,
028,87,79.8066984765,tap,lctrl
028,88,80.3649087218,stimulus,
028,88,80.5267308836,tap,rctrl
028,89,81.1149630030,stimulus,
028,89,81.2546847004,tap,rctrl
028,90,81.8650007038,stimulus,
028,90,82.0546343251,tap,lctrl
028,91,82.6150487624,stimulus,
028,91,82.7346548982,tap,lctrl
028,92,83.3650973203,stimulus,
028,92,83.3986376273,tap,rctrl
028,93,84.1151559955,stimulus,
028,93,84.1586167711,tap,lctrl
028,94,84.8652058406,stimulus,
028,94,84.9666109778,tap,lctrl
028,95,85.6152442481,stimulus,
028,95,85.7186009229,tap,rctrl
028,96,86.3652870707,stimulus,
028,96,86.4546698596,tap,rctrl
028,97,87.1153389068,stimulus,
028,97,87.2946431379,tap,lctrl
028,98,87.8653763790,stimulus,
028,98,88.0465427826,tap,lctrl
028,99,88.6154216949,stimulus,
028,99,88.7906627465,tap,lctrl
028,100,89.3654587069,stimulus,
028,100,89.4546257975,tap,lctrl
028,101,90.1155161220,stimulus,
028,101,90.2466351827,tap,lctrl
028,101,90.8225569609,tap,rctrl
028,102,90.8655488754,stimulus,
028,103,91.6156183415,stimulus,
028,103,91.7665470735,tap,rctrl
028,104,92.3656634859,stimulus,
028,104,92.3825418795,tap,rctrl
028,104,93.0945172657,tap,rctrl
028,105,93.1156895807,stimulus,
028,106,93.8657689535,stimulus,
028,106,93.9665323371,tap,lctrl
028,107,94.6158006904,stimulus,
028,107,94.6705223561,tap,lctrl
028,108,95.3658463611,stimulus,
028,108,95.5185663576,tap,lctrl
028,109,96.1159036438,stimulus,
028,109,96.1905249052,tap,lctrl
028,110,96.8659337687,stimulus,
028,110,96.8945197662,tap,lctrl
028,111,97.6160011807,stimulus,
028,111,97.7345062865,tap,lctrl
028,112,98.3660667881,stimulus,
028,112,98.6145666377,tap,rctrl
028,113,99.1161300046,stimulus,
028,113,99.2224957882,tap,rctrl
028,113,99.8464719705,tap,rctrl
028,114,99.8661705685,stimulus,
028,114,100.5584839760,tap,lctrl
028,115,100.6161973371,stimulus,
028,116,101.3662566197,stimulus,
028,116,101.4064574636,tap,lctrl
