# {'date': u'2021_sep_23_1122', 'frameRate': 99.786419514484905, 'expName': u'FTRNGT_sleep', u'session': u'training', u'participant': u'028'}
subj,trial,time,stimulus,response
028,1,0.0101277492,stimulus,
028,1,0.6234604723,tap,lctrl
028,2,0.7601423496,stimulus,
028,2,1.1354519001,tap,lctrl
028,3,1.5102103900,stimulus,
028,3,1.6074594824,tap,rctrl
028,4,2.2602757838,stimulus,
028,4,2.3834496819,tap,rctrl
028,5,3.0103267326,stimulus,
028,5,3.0874185360,tap,rctrl
028,6,3.7603386414,stimulus,
028,6,3.7993912749,tap,lctrl
028,7,4.5104130937,stimulus,
028,7,4.5913888891,tap,lctrl
028,8,5.2604763793,stimulus,
028,8,5.2953792647,tap,rctrl
028,8,5.9433766057,tap,lctrl
028,9,6.0105042126,stimulus,
028,10,6.7605516758,stimulus,
028,10,6.7706877527,tap,rctrl
028,11,7.5106188590,stimulus,
028,11,7.6553785691,tap,lctrl
028,12,8.2606708274,stimulus,
028,12,8.4312784901,tap,lctrl
028,13,9.0107229161,stimulus,
028,13,9.1353516075,tap,lctrl
028,14,9.7607755672,stimulus,
028,14,9.8393115294,tap,rctrl
028,14,10.4392777661,tap,rctrl
028,15,10.5108485609,stimulus,
028,16,11.2609000421,stimulus,
028,16,11.3593073481,tap,lctrl
028,17,12.0109621728,stimulus,
028,17,12.1353141429,tap,lctrl
028,18,12.7610212118,stimulus,
028,18,12.8712538360,tap,rctrl
028,19,13.5110666660,stimulus,
028,19,13.5752488582,tap,lctrl
028,20,14.2611209772,stimulus,
028,20,14.4152279322,tap,rctrl
028,21,15.0111676614,stimulus,
028,21,15.1191840496,tap,lctrl
028,22,15.7612312808,stimulus,
028,22,15.7911475418,tap,lctrl
028,23,16.5112882747,stimulus,
028,23,16.5911699548,tap,lctrl
028,24,17.2613440746,stimulus,
028,24,17.3911522601,tap,rctrl
028,25,18.0114057692,stimulus,
028,25,18.2071360644,tap,rctrl
028,26,18.7614311485,stimulus,
028,26,18.9511373619,tap,rctrl
028,26,19.5031080278,tap,lctrl
028,27,19.5132952048,stimulus,
028,28,20.2633715999,stimulus,
028,28,20.3591088231,tap,rctrl
028,29,21.0134265337,stimulus,
028,29,21.0711034174,tap,lctrl
028,30,21.7634594287,stimulus,
028,30,21.8630631734,tap,lctrl
028,31,22.5135329697,stimulus,
028,31,22.6230793081,tap,rctrl
028,32,23.2636009740,stimulus,
028,32,23.3192113700,tap,rctrl
028,33,24.0136411230,stimulus,
028,33,24.0790387793,tap,lctrl
028,33,24.7510404785,tap,rctrl
028,34,24.7636890132,stimulus,
028,34,25.5030223920,tap,lctrl
028,35,25.5137494898,stimulus,
028,36,26.2637958703,stimulus,
028,36,26.2949828127,tap,lctrl
028,37,27.0138861871,stimulus,
028,37,27.1270335016,tap,rctrl
028,38,27.7639274158,stimulus,
028,38,27.8789674728,tap,lctrl
028,39,28.5139706625,stimulus,
028,39,28.6149604435,tap,rctrl
028,40,29.2640194399,stimulus,
028,40,29.4469367604,tap,rctrl
028,40,30.0068864002,tap,lctrl
028,41,30.0170727020,stimulus,
028,42,30.7670870678,stimulus,
028,42,30.7772120652,tap,rctrl
028,42,31.4948925410,tap,lctrl
028,43,31.5171263627,stimulus,
028,43,32.2228942282,tap,rctrl
028,44,32.2671756695,stimulus,
028,45,33.0172511534,stimulus,
028,45,33.1108596431,tap,lctrl
028,45,33.6708328163,tap,rctrl
028,46,33.7672939219,stimulus,
028,46,34.3428144737,tap,rctrl
