# {'date': u'2021_nov_29_1150', 'frameRate': 99.781911760326039, 'expName': u'FTRNGT_sleep', u'session': u'day1', u'participant': u'029'}
subj,trial,time,stimulus,response
029,1,0.0101897607,stimulus,
029,2,0.7602257864,stimulus,
029,2,1.1749626811,tap,rctrl
029,3,1.5102681157,stimulus,
029,3,1.7188860795,tap,rctrl
029,4,2.2603397893,stimulus,
029,4,2.3829440595,tap,rctrl
029,5,3.0103733367,stimulus,
029,5,3.0868852306,tap,rctrl
029,6,3.7604437893,stimulus,
029,6,3.9029267049,tap,rctrl
029,7,4.5104658420,stimulus,
029,7,4.6628764263,tap,rctrl
029,8,5.2605267728,stimulus,
029,8,5.4149318899,tap,lctrl
029,9,6.0105442782,stimulus,
029,9,6.1349085289,tap,lctrl
029,10,6.7606114857,stimulus,
029,10,6.8228605836,tap,lctrl
029,11,7.5106595473,stimulus,
029,11,7.5588398456,tap,lctrl
029,12,8.2607394555,stimulus,
029,12,8.3028457949,tap,lctrl
029,12,8.9827978900,tap,lctrl
029,13,9.0107647623,stimulus,
029,13,9.7588400806,tap,rctrl
029,14,9.7690299406,stimulus,
029,15,10.5190925766,stimulus,
029,15,10.5748169598,tap,rctrl
029,15,11.2068189391,tap,lctrl
029,16,11.2691333902,stimulus,
029,17,12.0191923902,stimulus,
029,17,12.0628026359,tap,rctrl
029,18,12.7692429691,stimulus,
029,18,12.8788022277,tap,lctrl
029,19,13.5192894759,stimulus,
029,19,13.8068255036,tap,rctrl
029,20,14.2693142173,stimulus,
029,20,14.4067880868,tap,rctrl
029,21,15.0193578008,stimulus,
029,21,15.1747827752,tap,rctrl
029,22,15.7694175076,stimulus,
029,22,15.8947688156,tap,rctrl
029,23,16.5194868082,stimulus,
029,23,16.6547350301,tap,rctrl
029,24,17.2695529961,stimulus,
029,24,17.3507970260,tap,lctrl
029,25,18.0195777977,stimulus,
029,25,18.1667846269,tap,lctrl
029,26,18.7696296398,stimulus,
029,26,18.8307229683,tap,lctrl
029,27,19.5196944804,stimulus,
029,27,19.6468012967,tap,lctrl
029,28,20.2697588758,stimulus,
029,28,20.4067280587,tap,lctrl
029,29,21.0197969826,stimulus,
029,29,21.1507234005,tap,lctrl
029,30,21.7698693209,stimulus,
029,30,21.8386875425,tap,rctrl
029,31,22.5199320772,stimulus,
029,31,22.7347429919,tap,rctrl
029,32,23.2699970862,stimulus,
029,32,23.4867044408,tap,rctrl
029,33,24.0200353644,stimulus,
029,33,24.1986762600,tap,rctrl
029,34,24.7700652457,stimulus,
029,34,24.9026591813,tap,rctrl
029,35,25.5201254276,stimulus,
029,35,25.5907034642,tap,rctrl
029,36,26.2701701028,stimulus,
029,36,26.4066689690,tap,rctrl
029,37,27.0202093796,stimulus,
029,37,27.1666216167,tap,rctrl
029,38,27.7702866712,stimulus,
029,38,27.8306132390,tap,lctrl
029,39,28.5203370757,stimulus,
029,39,28.6786372707,tap,lctrl
029,40,29.2704091703,stimulus,
029,40,29.3106253795,tap,lctrl
029,41,30.0204455358,stimulus,
029,41,30.1346142302,tap,lctrl
029,42,30.7705200214,stimulus,
029,42,30.9106361352,tap,lctrl
029,43,31.5205502125,stimulus,
029,43,31.6306059802,tap,lctrl
029,44,32.2705935974,stimulus,
029,44,32.4706544943,tap,lctrl
029,45,33.0206570395,stimulus,
029,45,33.2386287195,tap,lctrl
029,46,33.7706997358,stimulus,
029,46,33.9025752323,tap,lctrl
029,47,34.5207601222,stimulus,
029,47,34.6546215801,tap,rctrl
029,48,35.2708154229,stimulus,
029,48,35.4625781960,tap,rctrl
029,49,36.0208677041,stimulus,
029,49,36.1665546992,tap,rctrl
029,50,36.7709233567,stimulus,
029,50,36.9265520144,tap,rctrl
029,51,37.5209834935,stimulus,
029,51,37.6465313120,tap,rctrl
029,52,38.2710090530,stimulus,
029,52,38.3745275346,tap,rctrl
029,53,39.0210665372,stimulus,
029,53,39.1665521046,tap,rctrl
029,53,39.7585367311,tap,lctrl
029,54,39.7711030982,stimulus,
029,55,40.5211617643,stimulus,
029,55,40.6145211346,tap,lctrl
029,56,41.2712067523,stimulus,
029,56,41.3104894136,tap,lctrl
029,56,42.0065134216,tap,lctrl
029,57,42.0212448290,stimulus,
029,58,42.7712980786,stimulus,
029,58,42.7984765303,tap,rctrl
029,59,43.5213286727,stimulus,
029,59,43.6944882265,tap,rctrl
029,60,44.2713641510,stimulus,
029,60,44.5024669806,tap,rctrl
029,61,45.0213966999,stimulus,
029,61,45.2224843262,tap,rctrl
029,62,45.7714701148,stimulus,
029,62,45.9264279453,tap,rctrl
029,63,46.5215096803,stimulus,
029,63,46.6704352119,tap,rctrl
029,64,47.2715640126,stimulus,
029,64,47.3664764560,tap,rctrl
029,65,48.0215959149,stimulus,
029,65,48.0624219501,tap,lctrl
029,66,48.7716536668,stimulus,
029,66,48.8463967472,tap,lctrl
029,67,49.5216991721,stimulus,
029,67,49.5504014608,tap,lctrl
029,68,50.2717641119,stimulus,
029,68,50.3584522868,tap,lctrl
029,69,51.0218099420,stimulus,
029,69,51.1904298942,tap,lctrl
029,70,51.7718587916,stimulus,
029,70,51.8944098500,tap,rctrl
029,71,52.5218915541,stimulus,
029,71,52.7023562464,tap,rctrl
029,72,53.2719549269,stimulus,
029,72,53.4863753561,tap,rctrl
029,73,54.0219852233,stimulus,
029,73,54.2384148919,tap,rctrl
029,74,54.7720513239,stimulus,
029,74,55.0863816486,tap,rctrl
029,75,63.6156595924,probe1,2
029,75,73.0158249223,probe2,1
029,75,80.1514126105,probe3,2
029,76,80.9241970226,stimulus,
029,76,81.2621544277,tap,rctrl
029,77,81.6742045250,stimulus,
029,77,81.8540572109,tap,rctrl
029,78,82.4242735761,stimulus,
029,78,82.5580576749,tap,rctrl
029,79,83.1743088468,stimulus,
029,79,83.3340678837,tap,rctrl
029,80,83.9243893985,stimulus,
029,80,84.0140646554,tap,rctrl
029,81,84.6744188798,stimulus,
029,81,84.7740245421,tap,rctrl
029,82,85.4244521626,stimulus,
029,82,85.5100615933,tap,rctrl
029,83,86.1744958062,stimulus,
029,83,86.3100390464,tap,rctrl
029,84,86.9245325988,stimulus,
029,84,87.0860161305,tap,lctrl
029,85,87.6745931987,stimulus,
029,85,87.8460355659,tap,lctrl
029,86,88.4246429416,stimulus,
029,86,88.5260107377,tap,lctrl
029,87,89.1747153881,stimulus,
029,87,89.2459910969,tap,lctrl
029,88,89.9247390258,stimulus,
029,88,89.9979551834,tap,lctrl
029,89,90.6748103536,stimulus,
029,89,90.7179476900,tap,lctrl
029,90,91.4248837444,stimulus,
029,90,91.5499759619,tap,lctrl
029,91,92.1749477098,stimulus,
029,91,92.2621444449,tap,lctrl
029,92,92.9250200571,stimulus,
029,92,92.9899645119,tap,lctrl
029,93,93.6750507744,stimulus,
029,93,93.7819877375,tap,lctrl
029,94,94.4251116751,stimulus,
029,94,94.5099749556,tap,lctrl
029,95,95.1751702691,stimulus,
029,95,95.2540236566,tap,lctrl
029,96,95.9252151849,stimulus,
029,96,95.9499257223,tap,lctrl
029,97,96.6752625097,stimulus,
029,97,96.7099327668,tap,lctrl
029,97,97.3819230525,tap,rctrl
029,98,97.4253005143,stimulus,
029,98,98.1579323560,tap,lctrl
029,99,98.1753599293,stimulus,
029,100,98.9254169052,stimulus,
029,100,98.9738850518,tap,rctrl
029,101,99.6754679984,stimulus,
029,101,99.7579090638,tap,rctrl
029,102,100.4255242315,stimulus,
029,102,100.5738975278,tap,rctrl
029,103,101.1755749879,stimulus,
029,103,101.3178974110,tap,rctrl
029,104,101.9256157112,stimulus,
029,104,102.0698862462,tap,rctrl
029,105,102.6756754300,stimulus,
029,105,102.7898797603,tap,lctrl
029,106,103.4257381051,stimulus,
029,106,103.5498676560,tap,rctrl
029,107,104.1758166298,stimulus,
029,107,104.2298525871,tap,lctrl
029,108,104.9258742553,stimulus,
029,108,104.9498253073,tap,rctrl
029,109,105.6759168854,stimulus,
029,109,105.7178276046,tap,rctrl
029,110,106.4259847756,stimulus,
029,110,106.4778029860,tap,rctrl
029,111,107.1760753874,stimulus,
029,111,107.2218342314,tap,rctrl
029,112,107.9260981770,stimulus,
029,112,107.9817968851,tap,rctrl
029,113,108.6761184433,stimulus,
029,113,108.7497891975,tap,rctrl
029,114,109.4261725771,stimulus,
029,114,109.4857938097,tap,lctrl
029,115,110.1762359350,stimulus,
029,115,110.2777782506,tap,lctrl
029,116,110.9263143604,stimulus,
029,116,111.0457509059,tap,lctrl
029,117,111.6763350508,stimulus,
029,117,111.7497805999,tap,lctrl
029,118,112.4263989078,stimulus,
029,118,112.5017616698,tap,lctrl
029,119,113.1764249095,stimulus,
029,119,113.2057483775,tap,lctrl
029,120,113.9264533261,stimulus,
029,120,114.0937367126,tap,lctrl
029,121,114.6765036524,stimulus,
029,121,114.8617626549,tap,lctrl
029,122,115.4265781140,stimulus,
029,122,115.6217626287,tap,lctrl
029,123,116.1766088193,stimulus,
029,123,116.3977167054,tap,lctrl
029,124,116.9266652749,stimulus,
029,124,117.0697053100,tap,rctrl
029,125,117.6767162899,stimulus,
029,125,117.8057106440,tap,rctrl
029,126,118.4267858944,stimulus,
029,126,118.6616898475,tap,rctrl
029,127,119.1768394808,stimulus,
029,127,119.3177224124,tap,rctrl
029,128,119.9268949169,stimulus,
029,128,120.0776841818,tap,rctrl
029,129,120.6769060343,stimulus,
029,129,120.8136926076,tap,rctrl
029,130,121.4269350495,stimulus,
029,130,121.4456859433,tap,rctrl
029,131,122.1769972765,stimulus,
029,131,122.2937140773,tap,rctrl
029,132,122.9270286375,stimulus,
029,132,123.1176620350,tap,rctrl
029,133,123.6770898299,stimulus,
029,133,123.8056619903,tap,rctrl
029,134,124.4271353983,stimulus,
