# {'date': u'2021_des_07_1124', 'frameRate': 99.784021358140862, 'expName': u'FTRNGT_sleep', u'session': u'day2', u'participant': u'029'}
subj,trial,time,stimulus,response
029,1,0.0101878821,stimulus,
029,1,0.5227955176,tap,rctrl
029,2,0.7601799191,stimulus,
029,2,1.2267762191,tap,lctrl
029,3,1.5102569202,stimulus,
029,3,1.9707308051,tap,lctrl
029,4,2.2603053533,stimulus,
029,4,2.7467251050,tap,lctrl
029,5,3.0103276004,stimulus,
029,5,3.5627432225,tap,lctrl
029,6,3.7603694892,stimulus,
029,6,4.5067289241,tap,lctrl
029,7,4.5169381892,stimulus,
029,8,5.2669946884,stimulus,
029,8,5.2906840828,tap,rctrl
029,9,6.0170117356,stimulus,
029,9,6.1626687902,tap,lctrl
029,10,6.7670868930,stimulus,
029,10,6.8826462664,tap,rctrl
029,11,7.5171373802,stimulus,
029,11,7.6666382094,tap,rctrl
029,12,8.2672125798,stimulus,
029,12,8.4346244967,tap,rctrl
029,13,9.0172240301,stimulus,
029,13,9.2106030105,tap,rctrl
029,14,9.7672979876,stimulus,
029,14,9.9545759059,tap,rctrl
029,15,10.5173421771,stimulus,
029,15,10.7065664620,tap,lctrl
029,16,11.2673914644,stimulus,
029,16,11.3865374138,tap,lctrl
029,17,12.0174557529,stimulus,
029,17,12.1225638051,tap,lctrl
029,18,12.7675039093,stimulus,
029,18,12.9305159258,tap,lctrl
029,19,13.5175275308,stimulus,
029,19,13.6984617115,tap,lctrl
029,20,14.2675754526,stimulus,
029,20,14.3544839530,tap,rctrl
029,21,15.0176192362,stimulus,
029,21,15.1944727472,tap,rctrl
029,22,15.7676653686,stimulus,
029,22,15.8664533791,tap,lctrl
029,23,16.5177604956,stimulus,
029,23,16.6664468666,tap,rctrl
029,24,17.2678003725,stimulus,
029,24,17.4023973255,tap,lctrl
029,25,18.0178479064,stimulus,
029,25,18.0664060132,tap,lctrl
029,26,18.7678689204,stimulus,
029,26,18.8343415946,tap,lctrl
029,26,19.4983460778,tap,rctrl
029,27,19.5179213865,stimulus,
029,28,20.2679739248,stimulus,
029,28,20.4503200933,tap,rctrl
029,29,21.0180199249,stimulus,
029,29,21.1863293000,tap,rctrl
029,30,21.7680915275,stimulus,
029,30,21.9463289937,tap,rctrl
029,31,22.5181220692,stimulus,
029,31,22.6344375349,tap,rctrl
029,32,23.2681897351,stimulus,
029,32,23.3062779617,tap,lctrl
029,33,24.0182476297,stimulus,
029,33,24.1222733457,tap,lctrl
029,34,24.7683084475,stimulus,
029,34,24.8342213960,tap,lctrl
029,35,25.5183327848,stimulus,
029,35,25.6582064472,tap,lctrl
029,36,26.2684064446,stimulus,
029,36,26.4342148552,tap,lctrl
029,37,27.0184528597,stimulus,
029,37,27.0982355156,tap,lctrl
029,38,27.7684875276,stimulus,
029,38,27.8661615392,tap,rctrl
029,39,28.5185437440,stimulus,
029,39,28.6421783862,tap,rctrl
029,40,29.2685849502,stimulus,
029,40,29.3701230398,tap,rctrl
029,41,30.0186509168,stimulus,
029,41,30.1941073661,tap,rctrl
029,42,30.7687048566,stimulus,
029,42,30.9061264137,tap,lctrl
029,43,31.5187521349,stimulus,
029,43,31.6420780816,tap,lctrl
029,44,32.2687969620,stimulus,
029,44,32.4740828265,tap,lctrl
029,45,33.0188329232,stimulus,
029,45,33.1940575930,tap,lctrl
029,46,33.7688801443,stimulus,
029,46,33.9620038358,tap,lctrl
029,47,34.5189127912,stimulus,
029,47,34.6180565610,tap,rctrl
029,48,35.2689454170,stimulus,
029,48,35.3859860883,tap,rctrl
029,49,36.0190107702,stimulus,
029,49,36.1300161767,tap,lctrl
029,50,36.7690489117,stimulus,
029,50,36.8899683795,tap,lctrl
029,51,37.5191005117,stimulus,
029,51,37.6739284373,tap,lctrl
029,52,38.2691825111,stimulus,
029,52,38.4099057589,tap,lctrl
029,53,39.0192201174,stimulus,
029,53,39.1619300858,tap,lctrl
029,54,39.7692835758,stimulus,
029,54,39.9458563969,tap,lctrl
029,55,40.5193258947,stimulus,
029,55,40.6978451215,tap,lctrl
029,56,41.2693914042,stimulus,
029,56,41.3858779377,tap,rctrl
029,57,42.0194596265,stimulus,
029,57,42.1220146640,tap,rctrl
029,58,42.7694810886,stimulus,
029,58,42.8818130979,tap,rctrl
029,59,43.5195279969,stimulus,
029,59,43.6337723253,tap,rctrl
