# {'date': u'2021_des_07_1114', 'frameRate': 99.784859822780248, 'expName': u'FTRNGT_sleep', u'session': u'training', u'participant': u'029'}
subj,trial,time,stimulus,response
029,1,0.0101429685,stimulus,
029,1,0.6561643082,tap,rctrl
029,2,0.7601579466,stimulus,
029,2,1.4001614258,tap,lctrl
029,3,1.5101976159,stimulus,
029,3,2.2320878082,tap,lctrl
029,4,2.2602648006,stimulus,
029,5,3.0102956851,stimulus,
029,5,3.0480837275,tap,lctrl
029,6,3.7603669389,stimulus,
029,6,3.9921144509,tap,lctrl
029,7,4.5104209148,stimulus,
029,7,4.5920395452,tap,rctrl
029,8,5.2604680036,stimulus,
029,8,5.4720425690,tap,rctrl
029,9,6.0105034294,stimulus,
029,9,6.2560589266,tap,rctrl
029,10,6.7605535557,stimulus,
029,10,7.0640174803,tap,rctrl
029,11,7.5106268575,stimulus,
029,11,7.7200038036,tap,rctrl
029,12,8.2606926708,stimulus,
029,12,8.4639721036,tap,rctrl
029,13,9.0107313808,stimulus,
029,13,9.1919616557,tap,rctrl
029,14,9.7607730050,stimulus,
029,14,9.9199916461,tap,rctrl
029,15,10.5108426708,stimulus,
029,15,10.5679719567,tap,lctrl
029,16,11.2608715283,stimulus,
029,16,11.3599100879,tap,rctrl
029,17,12.0109522105,stimulus,
029,17,12.1519359410,tap,lctrl
029,18,12.7609849536,stimulus,
029,18,12.9198955760,tap,lctrl
029,19,13.5110386498,stimulus,
029,19,13.7278348428,tap,rctrl
029,20,14.2610861687,stimulus,
029,20,14.5278189440,tap,rctrl
029,21,15.0111401325,stimulus,
029,21,15.2878253925,tap,rctrl
029,22,15.7611811101,stimulus,
029,22,15.9677862030,tap,lctrl
029,23,16.5112530075,stimulus,
029,23,16.6717685075,tap,lctrl
029,24,17.2613120750,stimulus,
029,24,17.4397517422,tap,lctrl
029,25,18.0113541563,stimulus,
029,25,18.2157625742,tap,lctrl
029,26,18.7613948211,stimulus,
029,26,18.9437266560,tap,lctrl
029,27,19.5114563006,stimulus,
029,27,19.6397307788,tap,lctrl
029,28,20.2615002677,stimulus,
029,28,20.3997303071,tap,rctrl
029,29,21.0115656809,stimulus,
029,29,21.2076924908,tap,rctrl
029,30,21.7615836304,stimulus,
029,30,21.9756647362,tap,rctrl
029,31,22.5116575788,stimulus,
029,31,22.6476790216,tap,lctrl
029,32,23.2617047458,stimulus,
029,32,23.4236399929,tap,lctrl
029,33,24.0117474437,stimulus,
029,33,24.1756263656,tap,rctrl
029,34,24.7617899160,stimulus,
029,34,24.9676433286,tap,rctrl
029,35,25.5118444272,stimulus,
029,35,25.7915838241,tap,rctrl
029,36,26.2618881837,stimulus,
029,36,26.4875528859,tap,rctrl
029,37,27.0119376634,stimulus,
029,37,27.2155593008,tap,rctrl
029,38,27.7620212478,stimulus,
029,38,27.9755180117,tap,rctrl
029,39,28.5120585502,stimulus,
029,39,28.6555266470,tap,lctrl
029,40,29.2620903641,stimulus,
029,40,29.3434933049,tap,lctrl
029,41,30.0121586795,stimulus,
029,41,30.1514855573,tap,lctrl
029,42,30.7621794981,stimulus,
029,42,30.8634510509,tap,lctrl
029,43,31.5122359611,stimulus,
029,43,31.6874524266,tap,rctrl
029,44,32.2622973053,stimulus,
029,44,32.4554278749,tap,rctrl
029,45,33.0123532300,stimulus,
029,45,33.1914010191,tap,rctrl
029,46,33.7623795342,stimulus,
029,46,33.9434141282,tap,rctrl
029,47,34.5124700448,stimulus,
029,47,34.7033721354,tap,rctrl
029,48,35.2625105893,stimulus,
029,48,35.4473498698,tap,rctrl
029,49,36.0125718162,stimulus,
029,49,36.2313769882,tap,rctrl
029,50,36.7626364746,stimulus,
029,50,36.8873131469,tap,lctrl
029,51,37.5127025014,stimulus,
029,51,37.6153497117,tap,rctrl
029,52,38.2627575509,stimulus,
029,52,38.4073074035,tap,lctrl
029,53,39.0128083810,stimulus,
029,53,39.1672502982,tap,rctrl
029,54,39.7628764378,stimulus,
029,54,39.9272592939,tap,lctrl
029,55,40.5129412075,stimulus,
029,55,40.7032233659,tap,lctrl
029,56,41.2629848617,stimulus,
029,56,41.4952196345,tap,lctrl
029,57,42.0130290453,stimulus,
029,57,42.2472376367,tap,lctrl
029,58,42.7630881128,stimulus,
029,58,43.0071753676,tap,lctrl
029,59,43.5131216770,stimulus,
029,59,43.7511403172,tap,rctrl
029,60,44.2631498698,stimulus,
029,60,44.5271167589,tap,rctrl
029,61,45.0132018668,stimulus,
029,61,45.1911200302,tap,lctrl
029,62,45.7632353708,stimulus,
029,62,46.0071428242,tap,lctrl
029,63,46.5132883272,stimulus,
029,63,46.6470826263,tap,lctrl
029,64,47.2633645011,stimulus,
029,64,47.5830879267,tap,rctrl
029,65,48.0133900925,stimulus,
029,65,48.2470611263,tap,rctrl
029,66,48.7634477736,stimulus,
029,66,48.9990677844,tap,rctrl
029,67,49.5134739154,stimulus,
029,67,49.7271894605,tap,rctrl
029,68,50.2635390068,stimulus,
029,68,50.4070554396,tap,lctrl
029,69,51.0135818581,stimulus,
029,69,51.1429576407,tap,lctrl
029,70,51.7636325348,stimulus,
029,70,51.8149407929,tap,rctrl
029,71,52.5136753229,stimulus,
029,71,52.6229617605,tap,lctrl
029,72,53.2637391843,stimulus,
029,72,53.3189609119,tap,lctrl
029,73,54.0137830400,stimulus,
029,73,54.1989284927,tap,lctrl
029,74,54.7638491270,stimulus,
029,74,55.0389492503,tap,lctrl
029,75,55.5138913226,stimulus,
029,75,55.7188957904,tap,lctrl
029,76,56.2639288386,stimulus,
029,76,56.3988742849,tap,rctrl
029,77,57.0139917015,stimulus,
029,77,57.2388611663,tap,rctrl
029,78,57.7640486849,stimulus,
029,78,57.9828147357,tap,rctrl
029,79,58.5140817919,stimulus,
029,79,58.7188120870,tap,rctrl
029,80,65.4379473680,probe1,2
029,80,71.7424038869,probe2,1
029,80,79.9296063651,probe3,2
