# {'date': u'2022_feb_17_0932', 'frameRate': 99.781895822964927, 'expName': u'FTRNGT_sleep', u'session': u'day2', u'participant': u'031'}
subj,trial,time,stimulus,response
031,1,0.0101799347,stimulus,
031,1,0.3442952504,tap,rctrl
031,2,0.7602316053,stimulus,
031,2,0.8563011716,tap,lctrl
031,2,1.4802415725,tap,rctrl
031,3,1.5102583682,stimulus,
031,3,2.2402431797,tap,rctrl
031,4,2.2602920603,stimulus,
031,4,2.9842082262,tap,lctrl
031,5,3.0103626057,stimulus,
031,6,3.7604288746,stimulus,
031,6,3.7842460501,tap,rctrl
031,7,4.5104971103,stimulus,
031,7,4.5281356426,tap,lctrl
031,8,5.2605468561,stimulus,
031,8,5.3681692990,tap,lctrl
031,9,6.0105960697,stimulus,
031,9,6.0561140332,tap,rctrl
031,10,6.7606241950,stimulus,
031,10,6.8161514683,tap,rctrl
031,11,7.5106720461,stimulus,
031,11,7.5840999936,tap,rctrl
031,12,8.2607138884,stimulus,
031,12,8.2720891027,tap,lctrl
031,12,8.9760614865,tap,rctrl
031,13,9.0107812339,stimulus,
031,13,9.6560128496,tap,lctrl
031,14,9.7608200808,stimulus,
031,14,10.4720074735,tap,rctrl
031,15,10.5108851256,stimulus,
031,15,11.1039813138,tap,lctrl
031,16,11.2609256626,stimulus,
031,16,11.8720028090,tap,rctrl
031,17,12.0109909811,stimulus,
031,17,12.6879386823,tap,rctrl
031,18,12.7610513944,stimulus,
031,18,13.4319010341,tap,lctrl
031,19,13.5111230375,stimulus,
031,19,14.1759000709,tap,rctrl
031,20,14.2611730450,stimulus,
031,21,15.0112257442,stimulus,
031,21,15.0318998294,tap,lctrl
031,21,15.6878576568,tap,rctrl
031,22,15.7612967979,stimulus,
031,22,16.4638575158,tap,lctrl
031,23,16.5113145415,stimulus,
031,23,17.2318770712,tap,lctrl
031,24,17.2613675023,stimulus,
031,24,17.9118290958,tap,rctrl
031,25,18.0113946833,stimulus,
031,25,18.6797602531,tap,lctrl
031,26,18.7615027948,stimulus,
031,26,19.4797836923,tap,lctrl
