# {'date': u'2022_feb_10_0912', 'frameRate': 99.784775480690001, 'expName': u'FTRNGT_sleep', u'session': u'training', u'participant': u'031'}
subj,trial,time,stimulus,response
031,1,0.0101448226,stimulus,
031,2,0.7601842468,stimulus,
031,3,1.5102303266,stimulus,
031,3,1.5479868534,tap,rctrl
031,4,2.2602973985,stimulus,
031,4,2.3159447354,tap,lctrl
031,4,2.9559244444,tap,lctrl
031,5,3.0103161674,stimulus,
031,6,3.7603824123,stimulus,
031,6,3.8039327893,tap,rctrl
031,7,4.5104511925,stimulus,
031,7,4.7799044081,tap,rctrl
031,8,5.2604813957,stimulus,
031,8,5.6119174434,tap,lctrl
031,9,6.0105436166,stimulus,
031,9,6.3638964787,tap,rctrl
031,10,6.7605970136,stimulus,
031,10,6.9638585260,tap,lctrl
031,11,7.5106236259,stimulus,
031,11,7.6598278170,tap,rctrl
031,12,8.2607123547,stimulus,
031,12,8.3798295773,tap,rctrl
031,13,9.0107684674,stimulus,
031,13,9.1878141914,tap,rctrl
031,14,9.7608100540,stimulus,
031,14,9.8277854404,tap,lctrl
031,15,10.5108741546,stimulus,
031,15,10.5238040992,tap,rctrl
031,15,11.2518111187,tap,lctrl
031,16,11.2619767139,stimulus,
031,16,11.9557692330,tap,rctrl
031,17,12.0120403062,stimulus,
031,17,12.7557811169,tap,rctrl
031,18,12.7659463483,stimulus,
031,19,13.5160387462,stimulus,
031,19,13.6197119423,tap,lctrl
031,20,14.2660820350,stimulus,
031,20,14.4197160969,tap,lctrl
031,21,15.0161096699,stimulus,
031,21,15.1796874472,tap,lctrl
031,22,15.7661525076,stimulus,
031,22,15.8517186618,tap,lctrl
031,23,16.5162051707,stimulus,
031,23,16.5716695295,tap,rctrl
031,24,17.2662780231,stimulus,
031,24,17.3876685366,tap,lctrl
031,25,18.0163097571,stimulus,
031,25,18.1396140776,tap,rctrl
031,26,18.7663563872,stimulus,
031,26,18.8676463629,tap,lctrl
031,27,19.5164031918,stimulus,
031,27,19.5396248684,tap,rctrl
031,28,20.2664659991,stimulus,
031,28,20.3877012335,tap,rctrl
031,28,21.0116683067,tap,lctrl
031,29,21.0218871374,stimulus,
031,30,21.7719463328,stimulus,
031,30,21.7876091294,tap,rctrl
031,31,22.5219719858,stimulus,
031,31,22.5715671360,tap,lctrl
031,32,23.2720296804,stimulus,
031,32,23.3395268284,tap,lctrl
031,33,24.0221190257,stimulus,
031,33,24.0915386272,tap,rctrl
031,34,24.7721498997,stimulus,
031,34,24.8195115539,tap,rctrl
031,35,25.5222371278,stimulus,
031,35,25.5555089816,tap,rctrl
031,36,26.2723012464,stimulus,
031,36,26.3715163616,tap,rctrl
031,36,27.0034471006,tap,lctrl
031,37,27.0223201295,stimulus,
031,37,27.7714795350,tap,rctrl
031,38,27.7816447543,stimulus,
031,39,28.5317178472,stimulus,
031,39,28.5634437631,tap,lctrl
031,39,29.2034671618,tap,rctrl
031,40,29.2817332958,stimulus,
031,40,29.9234231090,tap,lctrl
031,41,30.0317918356,stimulus,
031,41,30.6994193175,tap,lctrl
031,42,30.7818325921,stimulus,
031,42,31.4114716794,tap,rctrl
031,43,31.5318998234,stimulus,
031,44,32.2819678127,stimulus,
031,44,32.3234082199,tap,lctrl
031,45,33.0320171676,stimulus,
031,45,33.0513332855,tap,rctrl
031,45,33.7473635863,tap,lctrl
031,46,33.7820694427,stimulus,
031,46,34.5153441958,tap,lctrl
031,47,34.5320865183,stimulus,
031,47,35.2193197896,tap,rctrl
031,48,35.2821522790,stimulus,
031,49,36.0322096669,stimulus,
031,49,36.0513146116,tap,rctrl
031,50,36.7822826155,stimulus,
031,50,36.8675717928,tap,rctrl
031,50,37.5313049340,tap,lctrl
031,51,37.5414935876,stimulus,
031,52,38.2915599528,stimulus,
031,52,38.3152850004,tap,rctrl
031,53,39.0416136866,stimulus,
031,53,39.1152486713,tap,rctrl
031,54,39.7916698023,stimulus,
031,54,39.8112050453,tap,lctrl
031,55,40.5417042401,stimulus,
031,55,40.7311885557,tap,rctrl
031,56,41.2917826322,stimulus,
031,56,41.4192065988,tap,lctrl
031,57,42.0418313947,stimulus,
031,57,42.1551728360,tap,rctrl
031,58,42.7918641272,stimulus,
031,58,42.9311899374,tap,lctrl
031,59,43.5419262368,stimulus,
031,59,43.5631506550,tap,lctrl
031,60,44.2919674174,stimulus,
031,60,44.4111329220,tap,lctrl
031,61,45.0420210219,stimulus,
031,61,45.1391104411,tap,lctrl
031,62,45.7921089056,stimulus,
031,62,45.8831031072,tap,lctrl
031,62,46.5231263073,tap,rctrl
031,63,46.5421197016,stimulus,
031,63,47.2591390401,tap,rctrl
031,64,47.2921675768,stimulus,
031,64,47.9550783406,tap,lctrl
031,65,48.0422072175,stimulus,
031,65,48.6510638058,tap,rctrl
031,66,48.7922824458,stimulus,
031,66,49.4670648701,tap,lctrl
031,67,49.5423159783,stimulus,
031,67,50.2670327785,tap,lctrl
031,68,50.2923601994,stimulus,
031,69,51.0423976868,stimulus,
031,69,51.0749951073,tap,lctrl
031,70,51.7924897509,stimulus,
031,70,51.8510089967,tap,rctrl
031,71,52.5425296924,stimulus,
031,71,52.6509816329,tap,rctrl
031,72,53.2925685241,stimulus,
031,72,53.4110014818,tap,rctrl
031,73,54.0426389795,stimulus,
031,73,54.1310193862,tap,rctrl
031,73,54.7869968439,tap,rctrl
031,74,54.7971712180,stimulus,
031,75,55.5472377396,stimulus,
031,75,55.5629242833,tap,lctrl
031,75,56.2349408033,tap,rctrl
031,76,56.2972879336,stimulus,
031,76,56.9628980911,tap,lctrl
031,77,57.0473144376,stimulus,
031,77,57.6588939623,tap,rctrl
031,78,57.7973823818,stimulus,
031,78,58.4188802928,tap,lctrl
031,79,58.5474384914,stimulus,
031,79,59.2188516810,tap,lctrl
031,80,67.4137596628,probe1,2
031,80,74.7592258446,probe2,0
031,80,81.1730839349,probe3,3
